,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
NE-01,0.03547620476083808,0.06816385187696282,0.03779082833296624,0.6373582475432135,0.779726423882715,0.07287813200675025,0.047035725801777534,0.03014531656134431,0.011137702063096938,0.0005252266822575117,0.012076753679905418,-0.0295577930424362,-0.0038115774766052817,0.007483466415710514,-0.03166733135836822,-0.0041555783588045556
NE-02,0.0354179962695329,-0.0421087548948728,0.1579958790353588,-0.3537273346056094,0.9321294782043216,0.08183202001111291,-0.023854761303196234,0.008199474581151393,-0.00798675122739077,0.007577050039570366,0.008411866493284825,0.03666719423986025,0.010874944853534277,0.02695476174835644,0.02051598341322476,0.0010441425140531948
NE-03,0.011657244726436986,0.11023219489560973,-0.08878988398445987,0.9979651943143565,-0.053449555432634195,0.0008834396077416671,0.08675774356782795,0.000899018559436475,-0.003955837948556712,-0.008288935448602847,0.03366052085982548,-0.0046179002428287045,0.008311898465921137,-0.006052611316866159,0.00196465071866305,-0.005708080479964156
NE-AL,0.39103190110608155,0.7462839171801936,0.0854039399603151,-0.010482928171490184,0.11525171204501157,0.11968452488402867,0.4340499029208617,0.2685521866562811,-0.009825372182873486,0.10911322064832837,0.04861617608252326,0.04377059365906804,-0.04317085708698045,0.04322197579963585,0.00042719118350449746,-0.0713894925243214
NH,0.7977222464966237,0.2718158636720053,0.3702564339011856,0.0485207442565398,-0.026456670324921532,0.29053451002776587,-0.048406449526458596,0.04339565408168618,0.25906249737584586,0.031186892589356398,-0.05132689051188716,0.020893742332344378,-0.05851273012189316,0.12822263934622813,0.03316917165961038,-0.035820805949346765
NJ,0.9740696402453831,0.03988295096080288,0.20620028527758683,-0.01449267687360404,-0.04855995123477242,0.10169026471468834,-3.286248243023835e-06,-0.07559484378058942,0.02462459045917682,0.06263721106948551,0.0025389168881225855,0.009326985085741746,-0.06998017176097508,-0.00028259127190157505,0.06922885138497281,-0.03269481472926531
NM,0.7013381534955152,0.553010649791079,0.334870931380937,0.004470520944357277,0.08940288980590257,0.053625037093641734,0.13541546616041922,0.08225839537405619,0.07681387512127709,0.12513429571846632,0.126356108797193,-0.019071439062246454,0.09548567965481317,-0.048820363263025565,0.03156530883927591,-0.18540026536115292
NV,0.6299392953748842,0.6750567344104798,0.22347266629418397,-0.03803260945773146,0.012643307352019299,0.06604332377584142,0.2590607308117674,0.0351346138709328,0.025854516444906484,-0.011720543170523201,0.02864592968163401,-0.06983288817887744,0.07274536361268857,0.15656868095253593,0.12775887748524645,-0.019003784584765468
NY,0.9522601965787513,-0.10179453283099993,0.21911848201899747,0.046299267069182436,-0.07689727312255788,0.046636993724967275,0.11998777124562873,-0.08904150052670486,0.0044844717693353405,0.11720274833327862,0.030613830446447846,0.051642342938450686,-0.12680577632954876,0.014031112222420478,-0.01915086311397003,0.01529435026872744
OH,0.8481270001740784,0.38392912775616655,-0.06828232391547755,0.15015465842880835,-0.08994770941627235,0.13802421472722853,0.015442022533861328,0.21770847413974947,0.03883492183110365,-0.07288940668254411,-0.05178205814596805,0.10562304305692717,0.033060927075222415,-0.07842352819460675,0.1761861149612147,0.02917836815540445
