,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
OK,0.054555836956047654,0.9403006127015359,-0.07954366227245487,0.08588530490473237,-0.0741902863660537,0.10072298270444763,0.16106014320803133,0.11927114778320422,-0.01387289808787047,-0.01142408755533406,0.0024615982093776924,0.04434383482174046,0.02352042357123266,-0.09404413765207217,-0.07737487403741761,0.22272678594615686,-0.006635985875715303,-0.06967109918516737,-0.008089274665191073,0.07937218909173152,-0.0008309891670808094
OR,0.9121564235245655,0.19797081017732476,0.0475013203692505,-0.04299647945078237,0.12732281860518818,0.009652765383499805,0.17384564563904015,0.12022902569338673,-0.018418003944183952,0.0716065543338282,0.06978133609212209,0.003574889102870007,0.29113806377410323,-0.04961341003738974,-0.004718085352153394,-0.030900880842914532,0.028910130038299748,0.004467199431206055,0.004252331607611523,-0.009674743103116477,0.006275072350326125
PA,0.9528133537254161,0.0035315901067875023,-0.09971844374103546,0.11239813076990393,-0.04669745242599855,0.11054704431176147,-0.04779930257496459,-0.025645778952964004,-0.06285500014900174,-0.12480841718835306,0.04673118118904773,-0.009791942318088444,0.07440967103429656,0.09061843436928081,0.06445298168750978,0.20605413969895942,0.004167962377296268,0.029379871982623942,-0.03684694956203909,0.014671638856185656,0.055166108820844516
RI,0.8995834925692999,-0.11740398016487458,-0.014507374272727372,0.07831447049917102,-0.10411888188525524,0.299820661853906,0.03318770470250093,-0.14311243535805784,0.030978378144580477,0.024179684036310645,-0.0848569129733362,0.0521358843134843,-0.2124267886119654,-0.01195160427625334,-0.02935800902481923,0.122810461976862,0.09378442236282869,0.013009130115645223,0.03579323617699421,-0.005958954850986834,0.0033365965993690933
SC,-0.36730888843875276,0.8930421453330628,0.13275221087151196,-0.03798477244256998,0.01611515553438806,-0.04548256860459358,0.04387277855991824,-0.06473339583144376,0.056717318889053576,0.06761639818565948,-0.043877816247557426,0.0758916583055154,0.004183128373154095,0.1082517719967318,0.02082723121813499,-0.18130075384226516,-0.023762887716757098,0.03821934957424581,0.04114109747645557,-0.09403207030961414,0.005029118695443539
SD,0.5113472329820684,0.4187993120459408,-0.3041935518256873,0.21684806922712285,-0.022823203927784814,0.079314326703474,0.6529432017872915,0.10925474417448469,0.044608160178768584,-0.030638227295080655,-0.0324267013240394,-0.015781305169476297,0.039817725989839944,-0.03945360879047558,-0.009058578395362333,0.017023369454298366,-0.023189286663456453,-0.016805949281783677,-0.02072995644678394,0.045413136538084105,0.06074519111661913
TN,0.07942467465583596,0.9375860903749369,-0.12753280699011343,0.16443267953913188,-0.15618798322390717,-0.008807184685886585,0.024177003054168852,-0.06723818985626849,-0.02125639871897536,0.05271306273659716,-0.014859301707543886,0.04123333577074687,0.0417602873466389,0.07277664420124362,-0.02320599536517984,0.22232656829576966,-0.10392862533101363,0.0007290159477337014,-0.03608122644776464,-0.0031566631451428926,-0.003234341706809375
TX,-0.040241000999774165,0.9871759174073229,-0.007282448723972851,-0.05097186303506084,0.06506169341704215,0.10500390881798503,0.03746337537223878,0.06414188637842463,0.06520031452507996,0.07765694018925202,0.03832449386363131,0.05988921890943537,0.02498792683578414,-0.10112911379599207,0.006221967272177844,-0.043755461339839506,0.07081943011308388,-0.008232653796841337,0.032198581306828004,0.031272558563268577,-0.021337918854317604
UT,0.17431318959548825,0.8983280571347046,-0.0032283148616645773,-0.04914374321284657,0.1422072562049476,0.24361006579071562,0.04670233097822955,-0.000494271053836873,0.05224100422594245,-0.23060498703286111,0.12838767737131912,-0.054779925798924475,-0.03798304741332464,-0.0037945976733190752,-0.00892963339787177,-0.09748015550935839,-0.002451734399274875,-0.06999172062241675,0.07973146476877555,-0.11896164563763634,-0.013421819433023213
VA,0.11955156076123993,0.882480101218141,0.31386156293815265,-0.10875417009980433,0.12391411467062621,0.012804122507237907,-0.07423554542447575,0.11296269739786549,0.10073814057995038,0.22280184125859975,-0.006979176473659455,0.07697170634433938,0.06156394547343082,-0.04831643554379137,0.052936705434223894,-0.14731920524471315,0.044533839522403605,0.008785174070273497,0.003515337714453165,-0.02637251214367569,-0.00744734923619184
VT,0.876190498311426,-0.3775499990656974,0.24464646958296565,0.015806410695518355,0.07161893774929655,0.0030167670863198263,-0.031915986301038535,0.05906241769078596,0.11015071840552192,0.13429470418069747,-0.01007786087541972,0.05198848991929196,0.02963860389360559,0.0028569435833834893,-0.04179841600664188,-0.08106821005067472,-0.02674212241175141,0.09475597390344487,0.054406519625802494,-0.00801113891501948,-0.011339012826620446
WA,0.9344505329667497,0.24605071390715585,0.08771028601192152,-0.05699617128760563,0.08903396424846483,-0.03774149246134457,0.05044392254294379,0.10056418525801634,-0.0543958695922887,-0.1317438476753637,0.08327057133675413,-0.03414467105159256,0.15712636478437125,-0.015162922043316204,-0.036192839973893054,0.006086231149514909,0.03131441108494301,-0.029090947334791506,-0.01180960922200516,0.11261293424927515,0.012188821042025276
WI,0.8586858278820272,0.22359713932961608,-0.12624048302660043,0.03773476326393415,0.03161096540931908,-0.06366090111301584,0.4207841707785676,-0.08451905083310973,-0.08510578158458601,0.07582168317152167,0.028312019884771118,-0.00386711008283576,-0.02480050129951304,-0.034216164280800605,-0.015927689326678825,0.030892176258510207,-0.011943771269601382,-0.0006105938699906606,0.09466429285294109,-0.025609679377227388,-0.12212357861021732
WV,0.17218600000005493,0.5626617205124362,-0.41883963536702623,0.4102912420686858,-0.2662945774005477,0.2278719285974925,0.04197808750490747,-0.025595264868004605,-0.01262656011240319,-0.03310822024692429,-0.07183260170463543,0.06085481990459907,-0.04362765743315097,0.03547785237104172,0.017884387718479066,0.4481001964467581,0.052087101648202135,0.023595463264087596,0.02951492028362638,-0.03258156206693643,0.018235198530413426
WY,0.2576545905049461,0.8189951010616201,-0.24690782137504738,0.22892702144358065,-0.05222279686288746,0.2346073330309087,0.22210265192535292,0.11870036190803376,-0.01905658590428644,-0.2095367224486291,0.04637608294211698,-0.05608822311010796,-0.007971505235697583,0.03977972076815005,0.0165326985675961,0.09553513264395176,0.00885803242333902,0.03528923152374061,0.005017060283086904,-0.0020367229493367363,-0.03820220315040552
