,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
RI,0.8858460085268757,-0.16253836060158605,0.007329809003891464,0.2505290525084054,0.0920536784687921,-0.17680191910307858,-0.2741015900861799,-0.0035805167780616283,0.04067061529721632,0.027127831108988743,0.1265008429819974,-0.09288114393512967
SC,-0.34137507469582007,0.9223176222669958,0.08480374066660784,-0.007685979184747238,0.03997313324398362,-0.03776303913985232,0.09695403056112792,-0.10322226185304227,0.03979653717101675,0.13323616111603703,0.091838950078166,-0.023069675281702045
SD,0.4083225252616968,0.32075435581554557,-0.1371326461744702,0.06109041800725264,0.7964017530125019,0.015201919151883127,-0.28635933113934925,-0.05719736042389096,0.0016888402099382604,-0.005592908345091257,-0.08608632398194775,0.06279174396686275
TN,0.051207222024494674,0.881249382460165,-0.030998513648989215,-0.06080093657539348,0.12210676023733297,0.032847605188383255,-0.45260083967714043,0.051063997063592464,0.054838901655881914,-0.005993968888523624,0.0672140486706269,0.02227134942912705
TX,-0.04530029670117312,0.972600461936645,-0.004032062958308748,0.1406440517402818,0.10659865013158529,0.09507646324116789,-0.08322892024845721,-0.04639171349012881,0.02899493795899886,0.004531706675144383,-0.1119162985002211,-0.1111881350128012
UT,0.16282589392527608,0.8809695825252688,-0.06228713930205507,0.30688461985414794,0.150071590806839,-0.02294412128656075,-0.020073543757763275,0.021803103824813153,-0.2841660392446396,-0.04765134708897189,-0.014461856097143283,-0.10774134844872553
VA,0.1716128087567659,0.9267037653008223,0.17944846877669843,0.07187520196276327,-0.06048434554632821,0.1035647917366956,0.16701812488601625,-0.1338364304297406,0.15472601363726696,0.0397666533729522,-0.14313482574901215,-0.054214377888990584
VT,0.9037026011142918,-0.35482607397598304,0.14680202541102716,0.00012751278756426682,-0.00904969867971845,0.037667811897922655,0.14153589633413194,-0.09777047098532085,0.08830832355409135,0.0455902769797782,-0.06611232854449475,-0.07223240430959944
WA,0.919801408880008,0.22952790817392554,-0.0005700436661279619,-0.01829074768330748,0.16851502944766306,0.16111624650220885,0.013712410549117173,0.14222483266133581,-0.159604865208361,-0.06109111383207197,-0.13866170484999346,0.04953943888527496
WI,0.7963298459174585,0.17079197464198337,-0.0714742775936929,-0.05797491191750862,0.5438633017409344,0.0172529399420802,-0.10650408334307754,0.11582567174468952,0.06184006071185271,-0.010357900825146128,0.0719439729184496,-0.15592591380946416
