year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes,source_url
1876,TX,104755,44800,0,0,{},149555,https://en.wikipedia.org/wiki/1876_United_States_presidential_election
1876,VA,140770,95518,0,0,{},236288,https://en.wikipedia.org/wiki/1876_United_States_presidential_election
1876,VT,20254,44091,0,208,"{""Other"": 208}",64553,https://en.wikipedia.org/wiki/1876_United_States_presidential_election
1876,WI,123926,130067,1509,3184,"{""Green Smith"": 27, ""Peter Cooper"": 1509}",257177,https://en.wikipedia.org/wiki/1876_United_States_presidential_election
1876,WV,56546,41997,1104,1104,"{""Peter Cooper"": 1104}",99647,https://en.wikipedia.org/wiki/1876_United_States_presidential_election
1880,AL,91185,56221,4642,4642,"{""James Weaver"": 4642}",152048,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,AR,60775,42436,4079,4079,"{""James Weaver"": 4079}",107290,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,CA,80442,80348,3394,3531,"{""James Weaver"": 3394, ""John Phelps"": 6, ""Neal Dow"": 61}",164321,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,CO,24647,27450,1435,1449,"{""James Weaver"": 1435}",53546,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,CT,64415,67071,868,1316,"{""James Weaver"": 868, ""Neal Dow"": 409}",132802,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,DE,15275,14133,120,120,"{""James Weaver"": 120}",29528,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,FL,27964,23654,0,0,{},51618,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,GA,102470,54086,0,0,{},156556,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,IA,105845,183927,32701,33726,"{""James Weaver"": 32701, ""John Phelps"": 433, ""Neal Dow"": 592}",323498,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,IL,277321,318037,26358,26954,"{""James Weaver"": 26358, ""John Phelps"": 153, ""Neal Dow"": 443}",622312,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,IN,225522,232164,12986,12986,"{""James Weaver"": 12986}",470672,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,KS,59801,121549,19851,19876,"{""James Weaver"": 19851, ""Neal Dow"": 25}",201226,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,KY,149068,106306,11499,11730,"{""James Weaver"": 11499, ""Neal Dow"": 258}",267104,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,LA,65067,38637,439,439,"{""James Weaver"": 439}",104143,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,MA,111690,165205,4548,5230,"{""James Weaver"": 4548, ""Neal Dow"": 682}",282125,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
1880,MD,93706,78515,818,818,"{""James Weaver"": 818}",173039,https://en.wikipedia.org/wiki/1880_United_States_presidential_election
