year,state,district,R_votes,D_votes,other_votes,total_votes,T_votes
1968,NM,2,77963,54753,17887.0,150603.0,17887.0
1968,NY,1,141652,80628,21863.0,244143.0,21863.0
1968,NY,2,112403,74103,13606.0,200112.0,13606.0
1968,NY,3,96635,93216,7655.0,197506.0,7655.0
1968,NY,4,101605,80664,9553.0,191822.0,9553.0
1968,NY,5,106987,90806,10713.0,208506.0,10713.0
1968,NY,6,76226,81892,9043.0,167161.0,9043.0
1968,NY,7,54289,97611,9148.0,161048.0,9148.0
1968,NY,8,77066,103494,10468.0,191028.0,10468.0
1968,NY,9,73002,66308,12029.0,151339.0,12029.0
1968,NY,10,41616,97474,4530.0,143620.0,4530.0
1968,NY,11,39466,75409,5784.0,120659.0,5784.0
1968,NY,12,10165,46151,1742.0,58058.0,1742.0
1968,NY,13,46662,121925,5662.0,174249.0,5662.0
1968,NY,14,26664,47221,5067.0,78952.0,5067.0
1968,NY,15,57712,69634,10061.0,137407.0,10061.0
1968,NY,16,83380,52197,10130.0,145707.0,10130.0
1968,NY,17,69454,107385,4356.0,181195.0,4356.0
1968,NY,18,7967,75508,528.0,84003.0,528.0
1968,NY,19,27118,70664,3996.0,101778.0,3996.0
1968,NY,20,29008,86030,3560.0,118598.0,3560.0
1968,NY,21,20008,54578,3406.0,77992.0,3406.0
1968,NY,22,32133,67815,5351.0,105299.0,5351.0
1968,NY,23,36457,94075,5486.0,136018.0,5486.0
1968,NY,24,82478,80277,13090.0,175845.0,13090.0
1968,NY,25,114492,91951,13616.0,220059.0,13616.0
1968,NY,26,97911,86007,8516.0,192434.0,8516.0
1968,NY,27,107579,86238,15327.0,209144.0,15327.0
1968,NY,28,117884,71939,12812.0,202635.0,12812.0
1968,NY,29,91496,116334,8545.0,216375.0,8545.0
1968,NY,30,96437,87780,8448.0,192665.0,8448.0
1968,NY,31,75664,58115,6365.0,140144.0,6365.0
1968,NY,32,87607,73627,8703.0,169937.0,8703.0
1968,NY,33,89846,72412,9609.0,171867.0,9609.0
1968,NY,34,93909,79391,9006.0,182306.0,9006.0
1968,NY,35,100726,76105,8661.0,185492.0,8661.0
1968,NY,36,102524,98196,7184.0,207904.0,7184.0
1968,NY,37,97269,93270,9272.0,199811.0,9272.0
1968,NY,38,89140,68496,9470.0,167106.0,9470.0
1968,NY,39,89293,110304,15298.0,214895.0,15298.0
1968,NY,40,72072,84876,11480.0,168428.0,11480.0
1968,NY,41,27836,101021,10223.0,139080.0,10223.0
1968,NC,1,25900,42458,56357.0,124715.0,56357.0
1968,NC,2,24909,39540,57201.0,121650.0,57201.0
1968,NC,3,35991,31070,46384.0,113445.0,46384.0
1968,NC,4,65025,54791,44768.0,164584.0,44768.0
1968,NC,5,79060,42810,41442.0,163312.0,41442.0
1968,NC,6,60437,42756,45065.0,148258.0,45065.0
1968,NC,7,32532,38090,40764.0,111386.0,40764.0
1968,NC,8,60185,39399,45502.0,145086.0,45502.0
1968,NC,9,84265,44521,35128.0,163914.0,35128.0
1968,NC,10,78590,38602,45847.0,163039.0,45847.0
1968,NC,11,80298,50076,37730.0,168104.0,37730.0
1968,ND,1,70953,54063,7223.0,132239.0,7223.0
1968,ND,2,67716,40706,7021.0,115443.0,7021.0
1968,OH,1,81727,66863,18825.0,167415.0,18825.0
1968,OH,2,88208,61387,23052.0,172647.0,23052.0
1968,OH,3,62206,74485,17288.0,153979.0,17288.0
1968,OH,4,90751,60681,18766.0,170198.0,18766.0
1968,OH,5,89569,62510,15876.0,167955.0,15876.0
1968,OH,6,77496,55649,26975.0,160120.0,26975.0
1968,OH,7,78637,63362,21868.0,163867.0,21868.0
1968,OH,8,87364,57022,16657.0,161043.0,16657.0
1968,OH,9,64081,81932,15082.0,161095.0,15082.0
1968,OH,10,81045,60911,16375.0,158331.0,16375.0
1968,OH,11,76457,71669,21474.0,169600.0,21474.0
1968,OH,12,91586,64102,26102.0,181790.0,26102.0
1968,OH,13,74482,75812,20348.0,170642.0,20348.0
1968,OH,14,61217,78074,18759.0,158050.0,18759.0
1968,OH,15,83846,49915,19320.0,153081.0,19320.0
1968,OH,16,87148,69459,19460.0,176067.0,19460.0
