year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes
1984,DE,101656,152190,726,254572,3
1984,FL,1439282,2712061,0,4151343,21
1984,GA,706628,1128722,0,1835350,12
1984,HI,147153,185050,3642,335845,4
1984,IA,605620,703088,11097,1319805,8
1984,ID,108510,297523,0,406033,4
1984,IL,2167082,2536919,0,4704001,24
1984,IN,841481,1377230,0,2218711,12
1984,KS,333149,677296,9437,1019882,7
1984,KY,536640,815345,0,1351985,9
1984,LA,651593,1037301,0,1688894,10
1984,MA,1239606,1310936,8911,2559453,13
1984,MD,787935,879918,8020,1675873,10
1984,ME-01,117450,175472,1057,293979,1
1984,ME-02,97065,161028,1072,259165,1
1984,ME-AL,214515,336500,2129,553144,2
1984,MI,1529738,2251481,0,3781219,20
1984,MN,1036104,1032178,0,2068282,10
1984,MO,848583,1274188,0,2122771,11
1984,MS,353248,582327,0,935575,7
1984,MT,146742,232450,5185,384377,4
1984,NATIONAL,37655760,54337178,107553,92100491,533
1984,NC,823995,1345495,0,2169490,13
1984,ND,104429,200336,4206,308971,3
1984,NE-01,69923,144198,0,214121,1
1984,NE-02,70238,144901,0,215139,1
1984,NE-03,47705,170955,0,218660,1
1984,NE-AL,187866,460054,0,647920,2
1984,NH,120395,267051,1508,388954,4
1984,NJ,1260798,1932727,0,3193525,16
1984,NM,201769,307101,5500,514370,5
1984,NV,91655,188770,0,280425,4
1984,NY,3157349,3708344,0,6865693,36
1984,OH,1825350,2678559,0,4503909,23
1984,OK,384900,861530,0,1246430,8
1984,OR,536383,685540,0,1221923,7
1984,PA,2212533,2584289,0,4796822,25
1984,RI,197106,212080,0,409186,4
1984,SC,344459,615539,0,959998,8
1984,SD,116113,200267,1487,317867,3
1984,TN,711714,990212,10068,1711994,11
1984,TX,1948276,3433935,0,5382211,29
1984,UT,155369,469105,0,624474,5
1984,VA,796250,1337078,13307,2146635,12
1984,VT,95730,135865,2966,234561,3
1984,WA,807352,1051670,0,1859022,10
1984,WI,995739,1198585,0,2194324,11
1984,WV,328125,405483,1489,735097,6
1984,WY,53370,133241,2357,188968,3
1988,AK,72584,119251,8281,200116,3
1988,AL,549506,815576,0,1365082,9
1988,AR,349237,466578,10604,826419,6
1988,AZ,454029,702541,0,1156570,7
1988,CA,4702233,5054917,0,9757150,47
1988,CO,621453,728177,0,1349630,8
1988,CT,676584,750241,16562,1443387,8
1988,DC,159407,27590,5880,192877,3
1988,DE,108647,139639,1605,249891,3
1988,FL,1656701,2618885,0,4275586,21
1988,GA,714792,1081331,0,1796123,12
1988,HI,192364,158625,3472,354461,4
1988,IA,670557,545355,9702,1225614,8
1988,ID,147272,253881,0,401153,4
1988,IL,2215940,2310899,0,4526839,24
1988,IN,860780,1297838,0,2158618,12
1988,KS,422636,554049,16359,993044,7
1988,KY,580368,734281,0,1314649,9
1988,LA,717430,883702,0,1601132,10
1988,MA,1401406,1195644,36751,2633801,13
1988,MD,826304,876167,11887,1714358,10
1988,ME-01,131078,169292,2392,302762,1
1988,ME-02,112491,137839,1943,252273,1
1988,ME-AL,243569,307131,4335,555035,2
1988,MI,1675783,1965486,0,3641269,20
1988,MN,1109471,952337,0,2061808,10
1988,MO,1001619,1084953,0,2086572,11
1988,MS,363921,557518,0,921439,7
1988,MT,168956,190412,6326,365694,4
1988,NATIONAL,41838813,48877457,191362,90907632,533
1988,NC,890167,1237258,0,2127425,13
1988,ND,127739,166559,2963,297261,3
1988,NE-01,96134,123674,0,219808,1
1988,NE-02,94071,130193,0,224264,1
1988,NE-03,69030,144089,0,213119,1
1988,NE-AL,259235,397956,0,657191,2
1988,NH,163696,281537,5292,450525,4
1988,NJ,1320716,1743175,7362,3071253,16
1988,NM,244497,270341,0,514838,5
1988,NV,132738,206040,11289,350067,4
1988,NY,3349098,3082576,0,6431674,36
1988,OH,1939629,2416549,0,4356178,23
1988,OK,483423,678367,0,1161790,8
1988,OR,616206,560126,0,1176332,7
1988,PA,2222355,2300087,0,4522442,25
1988,RI,225123,177761,0,402884,4
1988,SC,370554,606443,0,976997,8
1988,SD,145560,165415,2016,312991,3
1988,TN,679794,947233,0,1627027,11
1988,TX,2352748,3036829,0,5389577,29
1988,UT,207343,428442,0,635785,5
1988,VA,860429,1309162,22648,2192239,12
1988,VT,115775,124331,3227,243333,3
1988,WA,933516,903835,0,1837351,10
1988,WI,1126794,1047499,0,2174293,11
1988,WV,341016,310065,2230,653311,6
1988,WY,67113,106867,2571,176551,3
1992,AK,78294,102000,78212,258506,3
1992,AL,690080,804283,183109,1677472,9
1992,AR,505823,337324,105751,948898,6
1992,AZ,543050,572086,353741,1468877,8
1992,CA,5111203,3623053,2372294,11106550,54
1992,CO,629681,562850,366010,1558541,8
1992,CT,682318,578313,355701,1616332,8
1992,DC,192619,20698,14255,227572,3
1992,DE,126054,102313,61368,289735,3
1992,FL,2071651,2171781,1052481,5295913,25
1992,GA,1008966,995252,309477,2313695,13
1992,HI,179310,136822,56710,372842,4
1992,IA,586353,504891,262214,1353458,7
1992,ID,137013,202645,142456,482114,4
