,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
PA,0.9157799785413486,-0.05680835223866202,-0.03291654130414504,0.06737191852453207,0.09975805531227132,-0.00291828416541935,-0.33539095319884754,0.11467795874025791,-0.14073960008491188,-0.06779093258185413,0.11745877291313266,0.01230302286815099,-0.06336173415153987,0.05975466361050946,-0.03755248591215609
RI,0.8851228188527156,-0.16093653161213534,-0.08970244459488041,0.23760788935925314,0.10619210223290923,-0.1392875353866542,-0.25433867039187,0.007062566659561836,0.025395322121832164,0.059101202054958536,-0.20606107132912582,-0.02400441810662707,0.036023467030716724,0.015094234925267297,0.06441446624656294
SC,-0.3384765764694426,0.9232877007524917,0.003242075793587905,-0.005783680462388561,0.029434954922432133,-0.07528793989040414,0.10145091518937713,-0.09712979269424865,0.05675836530542947,0.100021217278031,-0.008745103328065374,-0.01750663381676494,-0.13281564174593544,0.033137799814656116,0.05375728191665688
SD,0.4020899758911267,0.32106635155377194,-0.13181009296285393,0.056961946146290215,0.8105847026958609,0.07629840073527373,-0.26047835567637373,-0.07044877082379623,-0.015321766424112258,-0.056990701119387616,0.014711736424724323,-0.020670092623943072,0.021481984464074497,-0.05299091709956105,-0.0697702496985249
TN,0.04996950895026815,0.8793227621718829,-0.04990123071280974,-0.052865820510891656,0.1251420204007739,-0.05617170550004271,-0.4575016864173065,0.042777321212143185,0.06311501364230637,-0.010773434135868395,0.06413358332338699,0.018296454962403664,-0.05951300299427064,-0.057977643463041094,-0.004944374732529682
TX,-0.04481931606812938,0.9752446769150008,-0.06263756280867412,0.12790096925444794,0.11246901124413092,0.09748028639248302,-0.06429328009335872,-0.033751571046113794,0.027684470546457438,0.041031384875359365,0.0515988461781471,-0.02683250038734238,0.14201318283777456,0.034193101817834616,0.061330523254953036
UT,0.162071972427634,0.8796668481097538,0.0005758479871545777,0.3077217463852789,0.15547340735384693,0.022318333157181826,-0.026188059411730576,0.02261108750827111,-0.255726378735551,-0.08506619981066584,-0.008503646388113423,0.0349787251485665,0.03354832255361901,0.030825214395255263,0.15372768200737266
VA,0.17529373403828719,0.9279373529091955,0.0829849133860892,0.06861216481585143,-0.06722601772146071,0.14220202611535385,0.16887636924971888,-0.11394897496508985,0.1703408910100215,0.15047676363060508,0.06716178917415677,-0.029784573736639713,0.05898596749868174,0.0746603477616217,0.009796997069166709
VT,0.9051598891468644,-0.35368131516332557,0.08824767044553755,0.01125645760820208,-0.006592740714318411,0.05661331825278325,0.14087928986705522,-0.08311951050306805,0.11036513577718964,0.10161593085492067,0.03375920603104822,-0.1577048414135845,-0.013495423960776886,0.008722886335939433,0.036513827138243325
WA,0.9186512802084289,0.22909022832530723,0.04768826674751172,-0.014629965112342904,0.17805404419590054,0.13346711769004524,0.007160652658940033,0.12719627643676829,-0.16622212304577336,-0.037155780790076025,0.17315589899143594,-0.005356781989181087,0.05636637176218037,-0.05575076017478719,-0.04400533358969431
WI,0.791388192723906,0.16860107997158638,-0.05760630568944765,-0.0662316224689625,0.5518935418038836,-0.06580538030027443,-0.09873736674996031,0.13297713274502368,0.08488911030125493,-0.03846703681148392,-0.0030335499608688922,0.030798919724268386,0.059391140322453524,0.037855400160797276,0.1300380717297745
WV,0.08927081017121784,0.4331024792577753,-0.17113347338186752,0.10042692529312237,0.20834725261045148,-0.03513315461749827,-0.860000724434322,-0.002676459883988776,-0.023732063698123588,-0.045116032857963194,-0.034935985698473816,-0.016081701367089477,-0.029347954365261286,0.03861504070989858,0.03260120984301901
WY,0.1840650918082026,0.7285287214220115,-0.06330500690753192,0.20905147591550394,0.4034908152376463,0.10713879265817206,-0.4252552560232282,0.008466813129913535,-0.21866550923505168,-0.11575543300096673,-0.003775296537428908,-0.021937443649171037,-0.052368407050816905,0.023651750513571632,0.01669800293676592
