,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
MO,0.3738471948526451,0.6986770565277642,-0.07207053635023368,0.26403623921146613,-0.16064247427314488,0.2483641108119113,0.2980588294702935,0.06627500166456357,-0.07610502238502483,-0.027367384746477638,-0.04106321601386863,0.052238361183809354,0.018702074137447795,-0.054049909606993345,-0.009328810745770619,0.3553214720548752,-0.05875667614374787,-0.05619792357923448,0.013255257973446885,0.03246155768632767,-0.03137281517572984,-0.016021102984551845,-0.04874736855527035,-0.027253883622792043
MS,-0.37668242104366945,0.8605796943814552,0.1458366183685174,-0.012065473993523979,0.014035885107873073,-0.1858887666098778,-0.019773452003471657,-0.1063033507268937,-0.09271367723352575,-0.007768399270435365,-0.06965032034610603,0.0023393612247978013,-0.004588133807991769,0.1637706369468361,-0.026685641760345637,-0.18037372014774739,0.02919382723857964,-0.049439210693344206,-0.04717160653919208,-0.053726850940972286,-0.007900818408890693,-0.008935631748646278,0.06420263349004507,0.0012751076650509355
MT,0.4781757174560963,0.768792762824604,-0.1772121584776117,0.14768441069558436,0.07466605519493727,0.10900413453147227,0.26231362472608644,0.08528164304411194,-0.01426799911964892,-0.17007446169385362,0.09026956315385479,-0.026962673893688116,0.05146761979906523,0.006324237266072001,0.056997327257677026,-0.006319470753780093,0.15516732848492804,0.008675484668594148,-0.012678702930091275,-0.03062535339996795,0.011218913850836707,-0.002196620355445991,-0.02893879110924062,-0.002101365422974361
NC,0.11859425077075414,0.9612778563941321,0.13308415017120417,-0.04146739741916112,0.09904551555531953,0.038860858369863416,-0.09651398797106803,-0.06467766392373268,-0.04228555709355149,0.038731576477796924,-0.020107346608369783,0.007766735370833094,0.1027991499450019,-0.06283983624885361,0.016781044859078813,0.13983543586415595,0.004445999876855632,-0.009188826130895797,0.044132920525421004,0.055492722306083785,0.047872725470419576,-0.08485782053880057,-0.015869384513106554,0.01653230444679147
ND,0.5092772683658381,0.5755124678727003,-0.19869635528653076,0.1303361730090862,-0.014827510751927236,0.0664132114541684,0.607574563197038,-0.03351550157458792,-0.03724330548353299,-0.03442207154785775,0.016956525573062244,-0.014552457422561099,-0.03349615285837687,0.07272830605112973,0.03410879865408631,0.005957323485893908,0.02847252496830657,0.026878872221855078,-0.044288962919966285,-0.013249375573839779,-0.00012199464364205968,0.012188350223257425,-0.007987214921178437,0.0063816774551922195
NE-01,0.03584749096703294,0.06856501718359673,0.039742129862807944,0.6858301205212218,0.7347406018525573,0.07112609996011564,0.049076731402705624,0.02615326805479733,0.042910159494235434,-0.00170961236094552,0.004608733268779486,-0.035520177003351965,0.021689210753162245,0.024190411801982743,-0.023283514863715722,0.017653848402488306,-0.013241036764040955,-0.01502347602594206,-0.009606208801761646,-0.026482873080723994,-0.017282615841895464,0.03703277597938164,-0.02363574935845429,-0.035878147277240445
NE-02,0.0353910008081528,-0.04229323850946985,0.15879165258903363,-0.2877750449247231,0.9539274001828647,0.08365152207749499,-0.026695178632344743,0.013178514931954122,-0.021441155405800792,0.007437956722681693,0.021811703561365674,0.038675158914024316,-0.001621521496928716,-0.013885674569565581,0.010668482269759753,-0.04582497768356997,0.008591800244898634,0.006604042404199639,0.004141791666309651,0.013443082723687775,0.007696873161531257,-0.017304013436148444,0.010967888033576489,0.01716816063901739
NE-03,0.01309555261572582,0.11219984215852477,-0.09275780987745895,0.9957795528177229,-0.12154471540357607,0.0042321936343449875,0.08675264002516049,-0.0022397681665155614,-0.01329480286726027,-0.008541980570874843,0.015752196716278036,0.0014204903863951064,-0.004521972647457584,-0.008801692692506146,0.007976870939638307,0.014228622918093696,0.0006385323246222759,0.002377446964937201,0.008095696837712689,0.007792299281817741,0.0042884274260509775,-0.01119657634424243,0.004052756010521191,0.008521458742206584
NE-AL,0.39050627734929566,0.7460740220448446,0.08470938396706107,-0.0020589588656607545,0.11471025023014923,0.1179358803052569,0.43271435341253467,0.2709560827753424,0.011328706781166691,0.09724619349299242,0.045487720573456986,0.05293841298701711,-0.017729057737078197,-0.04062888821142174,-0.022615579280949278,-0.04512781338383909,0.02090645728163049,0.0074728948227873095,-0.025972664469474483,-0.0029521714749607495,-0.024143526886275152,0.09226336770398944,-0.05972158924846936,0.005150596930881264
NH,0.7995626988971659,0.27293498553987355,0.3618421014327683,0.04593202120293202,-0.030839504000368678,0.2928935902773701,-0.04621720010086468,0.03329245821602872,0.25728871409475995,0.018865667483143694,-0.05755391866034464,0.027869153015834335,-0.06023371948135524,-0.05762667109316458,0.02491979146751826,-0.12530714459903594,-0.01191407799675019,0.029733392001504818,-0.04814351517737713,0.03290285464591389,-0.017789098635493272,0.004795863722748338,-0.005553363902272135,-0.008002800845708861
