,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
OK,0.8270188812980199,0.007915844444063014,0.11733592034601972,0.15558485430145355,0.12708968656232292,-0.07321088531558133,-0.36985870308639346,-0.043737388550024035,-0.025607286241140892,0.1286408489164461,-0.1988369772201252,-0.03996982519200244,0.03930036495060631,-0.11568930869573571,-0.2031773622828867,-0.17714707147279787
OR,-0.35140877089184325,-0.0997999333062332,0.1760459192190499,0.1742219273653725,-0.17035347059446465,-0.04791407658989218,0.5894320321891234,0.15237954805035653,0.036050347920969804,0.42677776491658215,0.1001695403210048,0.1768120468815705,-0.20554802773214256,-0.020669275849092058,-0.0779943996744477,0.3541256996985376
PA,-0.8195052683172152,-0.1694803233422594,-0.19834962921686478,-0.2443956548162691,0.11035943687339696,-0.07578728185056306,0.10696138353049281,0.041913210938023124,-0.08234050064640928,-0.020863375908818444,0.0022012210549227475,0.2990285086047691,-0.012530722465567697,-0.008595937277620655,-0.26415878797306364,-0.10961956385709429
RI,-0.8592146557265857,0.04364226432971204,-0.04501515544214203,-0.23826320941303628,0.0682970796152008,-0.1702602633021773,-0.1353353993440647,-0.09390919559133029,0.11291806331359351,-0.10809911471068837,-0.11104943702412738,-0.0375152186213205,0.12212403642343571,-0.16606121081699032,0.23236786764685113,0.04918921596363052
SC,0.9552701243400257,-0.03439779977368601,0.05080190739209575,-0.03696119400935436,-0.022693418164913427,0.032254245174921044,-0.2534056373411803,-0.007804613254403002,0.03005686454983089,-0.08444874348983601,0.06773750122393739,-0.02579911241250154,-0.07177944563882666,0.05435540752290832,0.12928748352475244,0.05600066863796828
SD,0.07782690845374239,-0.04345124257181547,0.7892536983416806,0.25620504569755703,0.16675057011582786,-0.09870404830591334,-0.3048513752484432,0.01650175627327739,-0.23387033542644492,0.08057377510681532,-0.011791916905104626,0.0419702273594349,-0.32500944187947906,-0.007259614208599507,-0.07149887896436796,-0.15981289822426367
TN,0.7997594988380943,-0.08428713499733223,0.03188646169365579,-0.11933787373024811,0.19421368822238091,0.05677656468940433,-0.4594232994328085,-0.05122028543288144,-0.14080209615202235,0.0029394987861936597,-0.12214317090592978,0.03879186445201881,-0.014939338574881706,-0.060144077849958774,-0.23042745777321433,-0.046904238903993124
TX,0.9577139289202186,-0.020540944320557537,0.07139864782325121,0.0873223296548934,-0.03984077815645154,-0.15827869342346448,-0.17555895921409445,-0.008292770722769955,0.04361104849840011,0.07615431282763037,-0.12244323901614661,0.02695806706024429,0.07165514969314321,-0.1031680661253652,0.02918737023003922,0.0030344092614404193
UT,0.8402955819137738,-0.11538638881547418,0.06456166148819517,0.0017642732400456709,-0.1238217044348121,-0.3237977916273653,-0.08635847107372298,0.10285170471122079,0.0020818298346121974,-0.060539388934425405,-0.05598784239686218,-0.02787649456104748,0.17662542461090353,0.06250866776533913,0.15124265035617146,-0.3022275131096638
VA,0.8947984606599625,0.013726119882001266,-0.18441574781009606,0.12435462017355098,-0.14347544196374887,0.052995560587361726,-0.12849139133671109,0.03248932830654855,0.10103099713255015,0.11634043417388998,0.07621640820316591,0.022665791623538864,-0.03143690049390817,-0.015696203733388824,0.22202909825911912,0.2513562202715936
VT,-0.7806754615710324,-0.02277860437886768,-0.15160127673496396,0.03204789580301286,-0.03144845547377578,0.16043132866374468,0.3813601998058671,0.08800729546904432,0.16283233797122884,0.0426724845740826,0.08374072638813791,-0.004626481016087805,-0.031209340832269825,-0.1074054703066622,0.2646536817285574,0.29896852922115086
WA,-0.29865818957207274,0.029080177850746798,-0.06998378448596422,0.09046032229641039,-0.06494288424984838,-0.019683581434470108,0.8892652733748082,0.0905846638117993,0.14323998915980055,0.13734771751949312,0.05841313589502807,0.05056589723320198,0.013962595459031564,-0.1326574095161399,-0.21298950271978792,-0.10031324885306973
WI,-0.38881581868684323,0.07108913143170265,0.8418168673508057,-0.11365551742707992,0.0020573932581955325,0.07878653179028157,0.15853837587549646,0.03368155052766433,-0.017300759963436312,0.04772970036663993,0.08687311598294974,-0.11199545787014695,0.16133303331044493,-0.07005050169512236,-0.14562620331778636,0.1940254522042489
WV,0.23635531666140436,-0.1491361261263269,0.09289441442470937,-0.10334783970355009,0.38214855661196756,-0.1309701707572761,-0.705776852691426,-0.03038288120120806,-0.19515895272034198,-0.01317616704252867,-0.2134219926870871,0.21400186723583725,0.049003550885930634,-0.12790131285639855,-0.2831582793682419,-0.1801353718966532
WY,0.6472539879826084,-0.08579204663961815,0.28579778809170064,0.1356326343951439,0.27064812227010554,-0.33295997316695924,-0.31698928371114504,0.05536966199802911,-0.1150197933760989,-0.0805542248788266,-0.14490131654189173,0.12014269831473977,0.05696817712676348,0.006485015025617603,-0.15248498788694553,-0.35913085369940523
