,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
GA,0.9183224550265321,0.10678990548049438,0.06510908543768126,0.03001721911277309,-0.01802230178739836,-0.2828169811355316,0.03158959544300399,0.09062727891222659,0.08272079364562769,-0.11026455438492327,0.020746367418096462,0.08350495438898238,-0.21106780213967494,0.015065353763764295
HI,-0.03364355909725722,0.14807517769540215,0.002290338764448887,0.03519983196081763,-0.014772061308423515,0.2756040434311773,-0.9340374394211591,0.03800582686039994,-0.0020570340012029944,0.03599930127453532,-0.01991616479514771,-0.09304006240980617,0.19702178421957325,0.08174088158784455
IA,-0.6149085774076144,-0.5725036412984031,-0.2508987082149789,0.05060745260698613,-0.29234976271485236,-0.0772423862029823,-0.01592979975749844,-0.09089866745912216,-0.02372471059602506,0.31602538439070926,-0.11865114998268411,0.06199639483002799,-0.09534383187535753,-0.10434804697508897
ID,0.7861934366594769,-0.3136395236204987,0.06707265414564413,0.10845699474637344,0.2830112564631339,-0.2016284501252191,0.08865458117002735,-0.05461822344239641,-0.05396644965966472,-0.0316836581085621,-0.05061428613768514,0.3659517996194844,-0.09307390863675606,0.07002285123435563
IL,-0.7127239793197467,0.03397532210247264,0.030523525476650548,-0.13802904116426817,-0.3157542771610715,0.4753918936777463,-0.09632250989903757,0.19819705386284106,-0.04294803192682085,0.06522952302463175,-0.029745369841175182,-0.11500481403167903,0.16247801861480424,-0.24999942111099813
IN,0.5246910683777188,-0.05618258295385862,0.14435120434912768,0.1638482592315036,0.044659374962251315,-0.7656091265242833,-0.11099534931361328,-0.14533720722426793,0.11343019513929213,0.10940141671322143,0.018360888458492305,-0.005914673194577307,0.03812706433518239,-0.19476872232016607
KS,0.19803948288812814,-0.18737675338341567,-0.08416790911755133,0.8780672023756246,0.05782288093016909,-0.20680292012443563,0.15693958580505962,-0.16278640959189178,0.031651589140356366,0.14329444908123654,-0.005329495628005628,-0.07094295775383255,-0.17264713321296146,0.1001816626439511
KY,0.4703258139312613,0.006332969924643302,-0.10147372430708124,0.03222537103317237,0.11644401625817995,-0.8034052975031896,0.11716800617074445,-0.15461049568144425,0.008696987368486874,0.053316374235563166,-0.06278372659347402,0.18587972308945155,-0.1749088559499261,0.15627489899781163
LA,0.913116806693938,-0.17222091822426808,-0.02170050027980688,-0.04320761403566373,0.0018798723270378563,-0.28837810131753633,0.10508683783082758,0.036014951312094146,-0.08294860853942149,-0.17646635544233585,0.12333981629971232,0.009024974682573338,0.0530855756314376,-0.008622110050139003
MA,-0.8896068015023115,0.02260775173403964,-0.09320929955396848,-0.09397297270773515,0.12056753362394049,0.2315647081432378,0.07967826709257275,0.06143848279096484,-0.013696410687073361,-0.1475599923113633,0.04533998342985545,-0.11175596527994502,0.305143067103691,-0.020407423273240525
