,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
NE-03,-0.012418394989716659,-0.1737754666811121,0.12732855445157507,0.004315806135711537,0.9221727111479854,0.024382494765941672,-0.2021159509550287,0.24046917916803615,-0.1133782992258134,0.018218756977134813,-0.08281268020643748,0.02857922599202326,-0.012003139291144388,0.05754547205474496,-0.03868897191520718,-0.055318362091721224,-0.04220078835397158
NE-AL,0.6776506751863495,0.045909749063486646,0.42445888382192726,0.5118805840049682,-0.08087198068975553,-0.07771195196995351,-0.21458475254641823,0.06212353038761727,0.11820012800198489,0.10928795719269072,0.02300332242146157,-0.09130826468366983,0.00880382303547246,0.06574747223565838,0.09876387460408771,0.06009371671985813,0.03282903610660238
NH,-0.1493232092178573,0.07834934926658395,-0.4115473617414888,0.041068513106755855,0.04000019237510167,-0.059310646724506415,0.06353458764794209,0.013567750351898389,0.20068300181027457,0.12005443359895318,-0.03645473631026393,0.006971918167771948,-0.02436526691247254,-0.0031973610194371937,0.8651310892580328,0.08846069935401121,-0.014125204033949283
NJ,-0.7208703588982187,0.07306861491681559,-0.19132130661207353,-0.21090456585296005,-0.04989030724111214,0.11329688935565342,0.3547648250088077,-0.14826263099990827,0.17105308952455575,0.08191315451335807,-0.059105463527625524,-0.016411347162752173,0.20529465237708908,0.07259836485934903,0.3229450822280178,0.25505551633807527,-0.0285449044685561
NM,0.4559057192066968,0.009255128425288035,-0.14065140570659024,0.2169536403325395,-0.08934923821261243,0.11713602000750947,0.010982260257979477,0.08049379877790593,0.187593900324647,0.6802176645481678,0.2520501316750982,-0.16617900384004572,0.0003703494874384098,0.024718193302498942,0.27862604184350354,0.1757330303877817,0.15857274063781515
NV,0.6912855157665057,0.0918985789311138,0.2726584115232482,0.0966863032944831,0.026681837533797874,-0.0710306308443974,0.3960783930975183,-0.05751067944758491,0.15133055339955517,0.18516157838364788,-0.06528849940483776,-0.050530655060659825,-0.04598597107323147,0.358685161548192,0.2875814470838307,0.024923898037855094,-0.05047961501607202
NY,-0.8055945762054021,-0.015273388598190718,0.00832836979668214,-0.13166057851147062,0.0391469416849807,0.20970041180441298,0.2042851530669924,-0.13156289142796349,0.18771070226562825,-0.004782047680129269,0.09015070636297064,-0.17204616285584132,0.1387069483373621,0.02087345382290803,0.296658772076532,0.28763396868954516,0.023466598792217765
OH,-0.17828174109276468,-0.029723409744002793,-0.1533828395733074,0.27846261634277486,0.29628892528426576,-0.07148133065907615,-0.21561641585176658,-0.12340129020187464,-0.034376532480475314,-0.07766417179365737,-0.06546624962979976,0.8447032099779183,-0.004014726660703418,-0.009695339527584406,0.0019816568524927973,-0.07467407831894067,0.04029301668315408
OK,0.8258737111573266,0.002923098829037733,0.11888460246870333,0.15133005523298007,0.1251244718755115,-0.07236249429127466,-0.3745808527755434,-0.04336857685110086,-0.024683241904351134,0.14400930692341235,-0.19853812455045083,-0.03699438465878973,0.009822047558226653,-0.12188970346791839,-0.20294575087400396,-0.16274696210754705,-0.035161476742264317
OR,-0.3517143775483049,-0.03653825021920357,0.14947611406052602,0.213154022944007,-0.16884992589761286,-0.018179005656655166,0.5328403468057227,0.13996578794192263,0.040570733972894284,0.21306172623795713,0.11537819246415622,0.09919123027375287,-0.011332611350254276,-0.01281915723911485,-0.04001424956385949,0.21917621628787248,0.6195490228905082
