,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
MD,0.8460991997416095,0.15665342299499252,0.35258047808821075,-0.11606564252797887,0.11834094514284596,0.032344991163423556,-0.030440982919617294,0.10794747535013563,-0.00398374850993187,0.3542949479979602,0.02548437927691567,0.007084358342299872,0.01386802227864585,0.03878837466362529,-0.003219695916045465,-0.00308192084531376,0.003053138388751918,0.017011943841718155
ME-01,0.3887818641067367,0.12668582087743316,0.8529051213454871,0.032700302836335515,0.10363437725116656,0.12641773984421034,-0.13785565424773716,-0.014421557170339182,-0.022089225359356302,0.00922754658634638,-0.2755597457573766,-0.0018888755410530955,-0.026794144916825822,0.057014587161240554,-0.02424935077044212,0.002930831118410983,-0.09473670696630251,0.014614341106923874
ME-02,0.3050544537564508,0.196942449067993,0.5378183954201479,0.5700175449603523,-0.2726810968364088,0.02284642945956141,-0.018206119377948277,-0.040066321834605574,0.014467329953884474,0.004339366350231371,-0.4463361921772505,0.06461296592272321,-0.030005919156812447,-0.08240440290603741,0.013799285029863393,0.010781345017560251,0.025227158045536133,-0.008012018151321028
ME-AL,0.9142950017841961,-0.17858880195399762,0.034686738373808125,0.12038258154351193,-0.0292010213073522,0.1478875542155544,-0.09698045126574395,0.15364233977838737,0.11269304014256742,0.09277739154955009,-0.14109677818780483,0.1257366566467236,-0.111457975201476,0.054541203470496596,-0.02570652656231157,0.014370951312568917,0.0018141246650667559,-0.1466733137788961
MI,0.9579606523426714,0.009126805133078232,-0.07939304486191917,0.09270110692161687,-0.024468132657841497,0.0959006176886687,0.08668927269560953,0.04776664208621744,-0.13133555162393726,-0.18064348303556538,-0.03995524314638071,-0.009785032499273396,0.062155070333598,-0.08558460718083358,0.08649327238579751,0.003859298649621867,-0.05650316791533235,-0.06113379416820045
MN,0.8909467248648203,0.11458098562844739,-0.2503844145254523,0.056466384397618426,0.04580791266906234,-0.04278084433779931,0.27770612764865454,0.01535649541326329,-0.11933772608316792,-0.14821679216487552,-0.010792249420332639,-0.050214692341141884,-0.03980452949058795,-0.14721640856678261,-0.08270729883725358,0.032098322289280515,-0.05880578437356966,-0.0042693346458440385
MO,0.3739291933361206,0.6995058901165817,-0.07621195208804936,0.2788420746669842,-0.14700294699476496,0.25299949778776837,0.29750068149907394,0.05528098558561944,-0.06620957873408082,-0.027837832639878976,-0.0439834366340308,0.050511891164240104,0.02827038301810744,-0.35326844412000996,0.00732994110582198,-0.03385379813167083,-0.06333196798635121,0.02189572972487325
MS,-0.37711581322651366,0.8604939131930491,0.14660065252679136,-0.011415590226531743,0.011696132181143631,-0.18390467877914615,-0.020785280724670868,-0.10545262477532691,-0.14109380356833642,-0.016256569864009883,-0.06900797399728248,0.0029540578588272116,-0.024027697079405084,0.2108939405323747,-0.023273693333535274,0.10196057707502446,0.05173185441162821,-0.01624793107771163
MT,0.47883573206080227,0.7688240110210965,-0.17997051682544468,0.14158469796052262,0.084837447757634,0.10761716197990435,0.2616864380345047,0.091490747410623,-0.017193121075488035,-0.17517584517190468,0.08870882771528862,-0.024790012370309093,0.045641445874372084,0.015395615783369045,0.0319901441978423,-0.01564671158174256,0.12949881500253232,0.044323898413367334
NC,0.11860711900772254,0.9612625148767198,0.13477736642746801,-0.0457335235722276,0.09712696313063138,0.03712561115197349,-0.09290751479484029,-0.07485610970921583,-0.01385297074897387,0.03715210216629399,-0.017903727586986513,0.001700192345167902,0.12502277314178945,-0.16319964900610684,0.022546086071932814,-0.013883035160206355,0.006727409606212174,-0.05172585698670185
