,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
IA,-0.5896269579028548,-0.1891186079299087,0.5735341522850714,0.08046286230402891,0.23784866318585596,0.1997607392457431,-0.047848767688202794,-0.0839191082608536,0.020985099361023968,0.15712042171242815,0.12939132724790736,0.06692984558988689,-0.06779347192010106,-0.22663264872083225,-0.14537826049506797,-0.12759016338019874,0.21210182157881635,0.05693909981035325,-0.033926228839289925,0.1366753964592658,-0.04490378039447718,0.016849598892985037,0.024311178746851573
ID,0.8340078847622258,-0.042097427641531016,0.2766696851510211,0.11137027049538187,0.0958773290386389,-0.30476539242616524,-0.11134071772712822,0.03536562685368703,-0.08594141676410556,0.03619075190992101,-0.062331777111733974,0.035799192245985864,0.036046330641124946,0.052719892640419694,-0.0740617829757773,0.01631989859119476,-0.06472012444542352,0.01563926760473753,-0.2933749495649629,0.04758462442794224,-0.005943033931511686,0.040655737724346296,0.11156153010850303
IL,-0.763844007949362,0.030239289038712935,-0.025006645439153635,-0.12224312791386416,0.022132966099605245,0.2793129821799523,0.4153915388661268,0.02259048064042362,0.1038861103310496,0.09561677263845172,0.26685160325079066,-0.2181621430278319,0.06256600429744123,0.0006674183776327892,0.10911966141418142,0.0817767416175193,0.02117502039728996,-0.04666258689556354,0.11265499589946816,-0.04429138976478024,-0.026199464833678014,0.04096146426421151,0.007433971128165059
IN,0.564292787938192,-0.007416827267744667,0.05176084888991313,0.11787689800839804,0.05808598391094815,-0.005800994082518007,-0.7358403088947139,0.12971330782241416,0.08945360228365468,0.1612831526191596,0.13677109421449354,0.20034061022454797,-0.0977965533118969,0.14021707857295773,0.023863710730142474,0.04254976423436819,0.06296712416758725,-0.04908393753129829,-0.003937918149526853,-0.0450684889604764,0.005809661656360972,0.036098970456596505,-0.009408306820052163
KS,0.22765004016531173,-0.13062843755941872,0.19825829939570955,0.8529708551737876,-0.06698010878063664,-0.030294221050637043,-0.19486144937214947,0.12478874108082351,-0.17287065397793253,0.0567607957624159,-0.12546000784554778,0.17814875668820804,-0.07651848982473866,-0.03884345381600779,-0.16589971244980187,-0.030456963064745272,0.0979526308866173,0.04959193730142531,0.09038836227738645,0.0016043080816431588,-0.045515404502917176,0.02421909754810614,-0.021482326109478055
KY,0.5466254101567454,-0.07352033309006495,-0.02013169823715965,0.01543003588627881,0.1861835944066494,-0.13726316560395607,-0.7154644467728377,0.0017148930787650358,-0.12542000734088896,0.0347942830943744,-0.16894121723911357,0.16971703651233064,-0.025470096355397015,-0.134531266030458,-0.17467315977489134,-0.10098910424920132,0.0347737465466,-0.05194511311435223,-0.1542021508420959,0.0026831854646841443,-0.04678882202550404,0.047704366515669075,-0.019048037106465035
LA,0.9339211275910979,-0.04613250464996865,0.1283074902390503,-0.03282378849116942,0.09145885498823919,-0.01969134312099897,-0.2334262666551169,-0.028680917182249258,-0.0764959690055809,-0.13572219781893927,0.05410153773094569,-0.07312612892623861,0.07451007687997026,0.01635821263839212,0.08971395881471482,0.07870502296313539,-0.12234389838472107,0.08741669899936984,0.05209226350906617,0.012602720995759513,-0.009121992844287118,-0.003490786583194617,-0.03779409639626883
MA,-0.9195871977363516,0.022933295898198834,0.0035765137138843942,-0.08494168644979884,-0.11043347707560959,-0.08409213773447952,0.1371993092683268,-0.04634432401615875,-0.0852810658529702,-0.08833959728095679,-0.006183978266507833,-0.05221306447150229,0.0029048921773916756,-0.04836349553711049,0.30319901444653313,-0.005088900181632259,-0.08927576360541865,0.0763541326913931,0.018431919170241368,-0.09639827725547756,0.008174643093841267,-0.07703397470129233,-0.0022368004390667146
MD,-0.25273833841848403,0.060077107303569806,-0.31688129294964984,0.16269175250033108,-0.25928674057211576,0.17653535109678367,0.2415063374927449,0.07213250088274069,0.1691248711329238,0.1767333832050064,0.15324575691602324,-0.13496511769974587,0.026130836697286722,0.016159970380971767,0.2729027266783967,0.0014912871180237438,0.13425951640700945,0.004583228662992736,0.6934401036253602,-0.0005005668014895063,-0.0020602345886912175,0.00870928748674711,0.012723292569788705
ME-01,0.004911719883341464,0.5672647513781599,-0.3544935510286263,-0.04249174492646924,-0.12249664528684219,-0.01931750929444395,0.4148215322349597,0.13076577781538903,0.4304802376914484,0.04090745123217167,0.08926095565601187,-0.17445536381878227,0.013297991791978122,0.0701861813222855,0.3519978713189557,-0.026339622562867707,-0.051535157698248076,-0.025661170669292997,0.14604434888139478,-0.01354018146329369,0.007324488177552915,-0.014377133027789615,-0.013219635382351522
ME-02,-0.03189542027127797,0.38166624433678004,0.11754339885013912,-0.1715839307762652,0.8151968341914065,0.16094668830755018,-0.19449033601187302,-0.1026381313550302,0.0515769287490226,-0.04580132725728634,-0.09408968815965355,0.21859641434793953,-0.02003295270273655,-0.08743763955391563,0.08468091791895885,0.09329198254442021,0.02051064262052194,0.10904681424417442,-0.03042641243174521,0.046435690434795625,-0.022791172820653145,0.07358027679085266,0.01405275605213758
ME-AL,-0.7747612699044871,-0.017956723504421807,-0.207959905547863,0.1035778911578465,0.11062830349571293,0.043978016223836076,0.15796053326228446,0.028256116284997697,0.09138949733859698,-0.15389046500896383,-0.11011280074508097,0.2163823038253512,-0.16778004537883093,-0.2165602683087796,0.31707376408456645,-0.007450727349366386,-0.021417670216875483,0.1121769911512288,0.23721826852873992,-0.05032225726154465,-0.05205859903322786,0.004083380917908927,0.016047463288566623
MI,-0.7812099610508166,0.13335396406654296,0.019968561423920457,-0.037285753167318254,0.17542184180708537,-0.11994028184811571,0.39080074542116017,-0.008180727004434523,0.05078375010085442,-0.1268624005980112,-0.08872088101922362,0.18682863246063378,-0.08876693944125642,0.03733682435927245,-0.2195566729332064,-0.08428396939024962,0.025811844384910607,0.04057215012435613,-0.18953362430979004,0.004991425594640041,0.010991788075126224,0.20896843948178317,0.004256086381219392
MN,-0.6218821696059025,0.06462436975801576,0.49731976845438153,-0.02761803427448444,0.007930149441892118,0.0017856952597919886,0.18490400690890374,0.08046933013514702,-0.1726491391700095,-0.18084047040413018,0.010282066287754842,0.04359527494365903,-0.05775612303338062,-0.18196641539625347,-0.43723152525598935,-0.09219445641700266,-0.07218310307773268,-0.009351780703225593,-0.18269585926628093,-0.06751430957568468,-0.009410524214746675,-0.09801481699484112,0.039371810134489156
MO,0.4021189092527515,0.0595645487959731,0.15241747383851,0.11859002292340974,0.28604839736439697,-0.09072238121545921,-0.7695210894913106,-0.03261295684315642,-0.032053230313962705,0.13528148013135383,-0.07218696718747128,-0.04670941395517809,-0.03961807934360323,0.04539528971882563,-0.2055397482952317,-0.11550796436751043,0.07817091004116775,-0.018432299581395226,-0.2257354433849052,0.005506302383266545,-0.012473584385060157,0.05473847470568114,-0.05157409751645394
