,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
NH,0.7996392921805296,0.272928856248195,0.36093530483556674,0.047011786359582,-0.030133184234327134,0.29316828921687177,-0.04606078540864647,0.03336664625178995,0.2576204034027907,0.018167899091913114,-0.058258722708137645,0.029215482910960988,-0.06049460309453306,-0.059016278451409554,0.024932808976541262,-0.12625611192290698,-0.008064182185190082,0.028277581199249276,-0.04770297478441589,0.032494946078927084,-0.008812638009135187,-0.01805006440321514,-0.005195436846844765,-0.005082793997923998,0.01509616216172986
NJ,0.9757869180797619,0.040382685198608756,0.19653735683762136,-0.015426810904582137,-0.04711561668458465,0.10098142953002463,-0.0036096317072443836,-0.06714416664023357,-0.004726274116435747,0.0530395633361796,-0.01568843908820139,0.03208403924353715,-0.04856606963189738,-0.03676604274701437,0.04336630520127452,-0.007125992312606385,-0.011797002835130296,0.1087805828167583,-0.02824761604087221,0.00896747711844458,0.006051575749879347,-0.05656328714800305,-0.022408318249275392,-0.0016643923911704797,0.03267166308214234
NM,0.701881757516038,0.5535316271766548,0.3356954207016122,0.011040329813024656,0.08809625242796511,0.058692698731558024,0.1325066858923236,0.09272186078329203,0.019812134024907033,0.10024066889418531,0.08307814228399152,-0.011420560753055857,0.07971894282278444,-0.24904730192088068,0.003287718408193914,0.02835031471575995,0.004611194221092542,-0.00033172038927395685,-0.02524713525915204,0.011938981645549395,0.008742761794624488,0.011399479995056505,0.009416054668914351,-0.001218793912927144,-0.0069353347098423815
NV,0.6299932282233078,0.6752093208522593,0.223453219449468,-0.033015747964802916,0.0122203610881338,0.06766097650277474,0.2597812603653294,0.03843972685917612,0.004125048240839297,-0.015154644199790691,0.024868352585575293,-0.052127296502337335,0.0550493703823027,-0.0348015497864773,0.08877670656054314,-0.15947118070278737,0.037923648886196225,-0.009228190717916293,-0.0439533944825358,0.046125643176993365,-0.028781582845742195,-0.08706929209552304,0.0577769925422478,-0.03034047706487763,-0.011743389163755176
NY,0.9538869439457299,-0.1011742984400544,0.21069236688908682,0.04383716664504473,-0.07772485547928847,0.04669740846497063,0.11551726917845084,-0.07769683966948793,-0.012349821384662677,0.10421955416599299,-0.0007266314152786844,0.06730666865966486,-0.08595106990248684,0.0021913247136780174,-0.03593985111266361,-0.013307002025116465,-0.013553907691666279,0.10475540713761172,-0.05184362387649803,-0.05948516574945084,0.0054122274992372005,-0.005595403090154134,-0.030787303225526128,0.008974781056057783,-0.005415301989073145
OH,0.8480157476715716,0.3834686139461571,-0.07628998405263003,0.14051552810706275,-0.0961394315620565,0.1380995920783858,0.0178693013032185,0.20630844953679794,0.03809519826431769,-0.06519640996909463,-0.04858469115731371,0.09324142428054094,0.031133310929296013,0.011945658126882018,0.21587660134382583,0.07880451198443489,0.027584468743411167,0.002409992672185693,0.007131504796597663,0.03515143077821457,0.007655487631833923,0.006560680303481693,0.013643570818494436,0.03023017479922216,0.0126591770112634
OK,0.05457596018863681,0.9402011819792487,-0.08008534783735125,0.08709428634856312,-0.07232991646288474,0.10160492315109824,0.16160508279058736,0.11776802513633054,-0.01801393386255333,-0.011713988061791882,0.0006989954034119925,0.04293807542553054,0.026169020809372598,-0.08916512972894017,-0.06231197674985977,0.22230021593087268,-0.0652414141321871,-0.02381426465522765,0.07708683949933338,0.00898093322600545,0.02240660174907168,-0.01914065308609063,0.004917232741615962,0.017958373988624998,0.06411346215881186
OR,0.9122280100401297,0.19794451902068655,0.04848433373342581,-0.044993293827007994,0.1267519839263872,0.009879956878161993,0.17407960253544558,0.11926162581715255,-0.02025106701300663,0.07125413918688923,0.07029551683242621,0.0008513657573473002,0.28984523526033823,-0.052432736785630873,-0.006801918964963077,-0.02837242710826611,0.018343883536085386,0.0016353407543259215,-0.017065835967987716,0.0069346223744392805,0.028600545813636174,0.010585098069085372,0.008568224829834579,-0.027751441722535793,0.006291129393055819
PA,0.952686916314391,0.003423254544941096,-0.10070025316681981,0.11323367724436646,-0.04489532675254208,0.11087704086535939,-0.04630949536974533,-0.02705487961049414,-0.06878388952365026,-0.11886912556325248,0.04528939115252147,-0.006388516304095393,0.0682697151494065,0.08184697551033177,0.05494220867538149,0.2025234489073525,0.057566999569557124,-0.024738581202863947,-0.0008676674392582978,0.03943944946084724,-0.03669464457392738,-0.004974497427705754,0.07101050259696022,0.030163585260240933,0.005503333895746423
RI,0.899764512441463,-0.11732305731275074,-0.016240115249915334,0.0807013750181733,-0.10312911845786964,0.2986058822356882,0.0313669400358044,-0.13886855741825016,0.022755944098098908,0.0230561695427283,-0.08243691875675428,0.05408514758528546,-0.22172612985997328,-0.01606936338882053,-0.03192280375272672,0.1199103304720022,0.019731253873053765,-0.02043702327535641,-0.03267939519173809,-0.03598933481939545,0.06350483210100383,0.028160676716810818,0.01334661270304917,-0.052721227711047806,0.013445559507413215
SC,-0.36689777503133253,0.8932639724212278,0.1326158993516875,-0.03802286115364471,0.015346418947859644,-0.046029707352039984,0.04236439169998594,-0.06338771012097838,0.054534313237015845,0.06404935947982258,-0.0421367754077574,0.07314376181516243,0.005861483760181712,0.10609012177260299,0.025769587561181827,-0.18170999668531124,-0.007912012811166312,0.05308067340382507,-0.08378874244515162,-0.04860514592314345,-0.02726463045693762,0.037606419751633834,-0.0014385152427912763,-0.04961343866105805,-0.027391888180601103
SD,0.5111802610353728,0.41858352508983104,-0.3047815811276723,0.21656197533242352,-0.019076644638516455,0.0790963164541889,0.6530098720549877,0.11020653996068408,0.042108016858554316,-0.03175496011211704,-0.03184202999046214,-0.016776625395146634,0.04147219843356257,-0.037861548025642164,-0.005771128681084881,0.01837484919153625,-0.04314704719210353,-0.025494577646601898,0.03367551556354672,0.02369206072353351,-0.00954442760641316,-0.008794268830091994,0.052633574522472706,-0.009000454197520966,-0.013788105061758172
