,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
NM,0.45552363623563735,0.008541686321881223,-0.1430060898695904,0.2148511497881594,-0.08606340179453628,0.11050931611279792,0.01650077743841337,0.07492829882308276,0.18479178336431942,0.7036426193221403,0.23780606074503535,-0.1639395189119844,-0.00037478534034430464,0.03031700328288891,0.26218969633823014,0.1695862282979462,0.14371411808110643,-0.004337791310249291,0.004172048457548978
NV,0.6919383341651906,0.09255649070103968,0.27175732038828926,0.09803041979404736,0.023397020012063147,-0.06196438728993773,0.38945979915656015,-0.04976939262637001,0.14786497149608865,0.16174801193652324,-0.059186599271842825,-0.05308853010641355,-0.03088647640331998,0.3980499875191019,0.28774490232032734,0.02168181988855565,-0.04223917859358901,0.00045634348306185446,4.4348204578883276e-05
NY,-0.803021548972731,-0.019132384769303037,0.009770537836753534,-0.13149907469971622,0.04080266096355493,0.2074322717231529,0.211359418504617,-0.13279455448665947,0.18656756786152554,0.008971038118705308,0.08566009627025334,-0.17182854029517633,0.14139737924434584,0.0007159857714304889,0.2965882330144354,0.2885939551992851,0.020130426412233924,-0.04132965216399137,-0.021943457458562275
OH,-0.17827233076738902,-0.025930443267176,-0.1500996282831621,0.2674630138545963,0.29438699029767385,-0.0722244555589335,-0.21658222056947238,-0.1200245290741197,-0.029291742335223712,-0.08160669946950092,-0.060167582355684986,0.8562598469956456,-0.004076146736082956,-0.011640459167515738,0.004396099832178441,-0.07348304147557422,0.03936728186669383,-0.002272182450836285,-0.0002071248239614716
OK,0.8235774706624871,0.005427171591863848,0.12253106241608842,0.14809033664440094,0.11985320778649133,-0.0653452214384372,-0.38533360374218617,-0.03655610525210749,-0.022111936895345248,0.11367648805712074,-0.18611947848254812,-0.028201344417107588,-0.011990971798112808,-0.06659636520633909,-0.1944507958758541,-0.1569546126410807,-0.027567403408809532,0.07775686208691535,0.16464567464317356
OR,-0.35055913115201526,-0.0338328566712244,0.15156106249846024,0.21149524533440967,-0.16737776123597187,-0.02003325194930416,0.5353455639595783,0.1412445924435902,0.03974716616138206,0.2254655173378213,0.11092425996217382,0.10305864958434384,-0.01364846253041606,-0.009714102242838784,-0.045444337219431065,0.2193606181889615,0.6138082858681604,-0.006154211700936386,0.0019212876279825445
PA,-0.8220731485008506,-0.1410525213604928,-0.2041482773061782,-0.22816864451044633,0.10220504759603967,-0.051327502470675176,0.08159960198322239,0.0451866328045154,-0.08817899682124337,-0.10477164301634027,0.013310245895077732,0.2640277161961601,0.05890045608602794,0.04472045394235194,-0.2387249305405377,-0.14170169562389476,0.13652712560547609,0.16269270791927828,0.027893251348533724
RI,-0.8601083588454546,0.028414611821554574,-0.0370674496744305,-0.23602960694442993,0.06040269506110916,-0.16552035144564892,-0.1159732653664611,-0.08805731260706758,0.10065638092182307,-0.05863269158585599,-0.11303291994333599,-0.03250556366854259,0.04912213033454952,-0.10711035042202989,0.23289904729651367,0.0911486444511521,-0.15880423563531174,0.22808742804237472,-0.013614239871104957
SC,0.9561321135930269,-0.018915669540139707,0.047479554332316695,-0.028270664961345195,-0.023393657065699527,0.03956994965483228,-0.25587903643444193,-0.011449330201798181,0.02704282864553939,-0.10384849738738586,0.06386379827429524,-0.043661843533990954,-0.011364610374772486,0.04035569686448895,0.13872808183157445,0.03346858740342,0.024579731546268958,-0.044068609533779626,-0.06163824457466461
SD,0.07451372774000524,-0.036073630703949956,0.7830603795150958,0.25164011022877414,0.16660702898023244,-0.09408366752553891,-0.33023490491518076,0.015780897548443716,-0.22400272897320553,0.025069718312596714,0.004890941750170527,0.036198922501113326,-0.2914051481831204,0.032681143920458115,-0.06059464834338352,-0.1870228265151438,0.15004781958331107,-0.04861367908641823,0.0005738765000359382
TN,0.7974588222204965,-0.06477015567964182,0.03002059567112055,-0.11548783925872891,0.18671043779382357,0.07318051193934655,-0.47916331737486506,-0.04956574966658618,-0.14067100471372382,-0.04950650473559993,-0.11374420189347975,0.022711494668420665,0.01357882217568566,-0.033038147403161786,-0.20810881593882827,-0.06017494323384304,0.05315032114239035,0.04930112378836449,0.07784832349715808
TX,0.9566033963652422,-0.032766300157742075,0.07728837826185392,0.07881052362934308,-0.03978562912618571,-0.1633971548817728,-0.1755562440530624,-0.005111857118692754,0.04623823878392425,0.10185072229423679,-0.11893291780814028,0.04342328475249423,0.01382720862471753,-0.08549760199116722,0.02074694470440444,0.021462042135633772,-0.039542370987561526,0.056347003565844204,0.04896198696942249
UT,0.8407635128230632,-0.10788310968966394,0.06832731674149152,0.005069886738499992,-0.12394528750264419,-0.31896140695875785,-0.08363226472228438,0.10348070897746366,-0.001343306941692966,-0.044946623464078996,-0.0657263995440583,-0.02536827895494006,0.18642654618565127,0.028231623698407576,0.1516108679168678,-0.2956968056223778,-0.11265324269361608,-0.03727049085264742,0.05990706142826468
