year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes,D_delta,R_delta,total_delta,pres_margin,pres_margin_delta,pres_margin_str,pres_margin_delta_str,national_margin,national_margin_delta,national_margin_str,national_margin_delta_str,relative_margin,relative_margin_delta,relative_margin_str,relative_margin_delta_str,third_party_share,third_party_share_str,third_party_national_share,third_party_national_share_str,third_party_relative_share,third_party_relative_share_str,two_party_margin,two_party_margin_str,two_party_margin_delta,two_party_margin_delta_str,two_party_national_margin,two_party_national_margin_str,two_party_national_margin_delta,two_party_national_margin_delta_str,two_party_relative_margin,two_party_relative_margin_str,two_party_relative_margin_delta,two_party_relative_margin_delta_str,color
1948,NM,105464,80303,1296,187063,4,0,0,0,0.134505487456,0,D+13.5,0,0.044823557538,0,D+4.5,0,0.089681929918,0,D+9.0,0,0.006928147201744866,0.69%,0.05375609199235088,5.38%,-0.046827944790606015,-4.68%,0.1354438624728827,D+13.5,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.0880738797879412,D+8.8,0.0,0.0,deepskyblue
1948,NV,31291,29357,1469,62117,3,0,0,0,0.031134794018,0,D+3.1,0,0.044823557538,0,D+4.5,0,-0.013688763520,0,R+1.4,0,0.023648920585347007,2.36%,0.05375609199235088,5.38%,-0.030107171407003874,-3.01%,0.03188893285846194,D+3.2,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.015481049826479562,R+1.5,0.0,0.0,deepskyblue
1948,NY,2780204,2841163,555970,6177337,47,0,0,0,-0.009868168112,0,R+1.0,0,0.044823557538,0,D+4.5,0,-0.054691725650,0,R+5.5,0,0.09000156539945935,9.00%,0.05375609199235088,5.38%,0.036245473407108465,3.62%,-0.010844159436663715,R+1.1,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.05821414212160522,R+5.8,0.0,0.0,red
1948,OH,1452791,1445684,37596,2936071,25,0,0,0,0.002420581791,0,D+0.2,0,0.044823557538,0,D+4.5,0,-0.042402975747,0,R+4.2,0,0.012804867457224298,1.28%,0.05375609199235088,5.38%,-0.04095122453512658,-4.10%,0.002451979057952889,D+0.2,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.04491800362698861,R+4.5,0.0,0.0,deepskyblue
1948,OK,452782,268817,0,721599,10,0,0,0,0.254940763499,0,D+25.5,0,0.044823557538,0,D+4.5,0,0.210117205961,0,D+21.0,0,0.0,0.00%,0.05375609199235088,5.38%,-0.05375609199235088,-5.38%,0.25494076349884076,D+25.5,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.20757078081389926,D+20.8,0.0,0.0,deepskyblue
1948,OR,243147,260904,20029,524080,6,0,0,0,-0.033882231720,0,R+3.4,0,0.044823557538,0,D+4.5,0,-0.078705789258,0,R+7.9,0,0.03821744771790566,3.82%,0.05375609199235088,5.38%,-0.01553864427444522,-1.55%,-0.0352285780605534,R+3.5,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.0825985607454949,R+8.3,0.0,0.0,red
1948,PA,1752426,1902197,80525,3735148,35,0,0,0,-0.040097741776,0,R+4.0,0,0.044823557538,0,D+4.5,0,-0.084921299314,0,R+8.5,0,0.02155871735202996,2.16%,0.05375609199235088,5.38%,-0.03219737464032092,-3.22%,-0.04098124485070006,R+4.1,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.08835122753564156,R+8.8,0.0,0.0,red
1948,RI,188736,135787,3179,327702,4,0,0,0,0.161576676371,0,D+16.2,0,0.044823557538,0,D+4.5,0,0.116753118833,0,D+11.7,0,0.009700886781282995,0.97%,0.05375609199235088,5.38%,-0.044055205211067885,-4.41%,0.16315946789595806,D+16.3,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.11578948521101656,D+11.6,0.0,0.0,deepskyblue
1948,SC,34423,5386,102762,142571,8,0,0,0,0.203666944891,0,D+20.4,0,0.044823557538,0,D+4.5,0,0.158843387353,0,D+15.9,0,0.7207777177686907,72.08%,0.05375609199235088,5.38%,0.6670216257763398,66.70%,0.7294079228315206,D+72.9,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.682037940146579,D+68.2,0.0,0.0,yellow
1948,SD,117653,129651,2801,250105,4,0,0,0,-0.047971851822,0,R+4.8,0,0.044823557538,0,D+4.5,0,-0.092795409360,0,R+9.3,0,0.011199296295555867,1.12%,0.05375609199235088,5.38%,-0.04255679569679501,-4.26%,-0.04851518778507424,R+4.9,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.09588517047001574,R+9.6,0.0,0.0,red
