,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
GA,0.9453235249028469,0.08143846525495146,-0.10922407543619998,0.0036982433558045294,-0.0522088710516774,0.05317827359911741,-0.22830406847042095,0.041114799433269816,-0.04623885939674423,-0.025595921046016375,-0.025594142776527874,-0.06798592855074277,-0.05280632643431478,0.028651572498249688,-0.16014570112971352,-0.03216979306111985,-0.103758651379062,-0.04153613319868717,-0.05330926721779982,0.0397556984563797,0.05595158290212221,0.025635555472447173,0.011688175003943146,-0.07854401708148345
HI,-0.08468447132375563,0.059083093245989815,-0.13430407391500074,0.02969660582323207,-0.15850634005371775,0.036203969680584334,0.22673484132758773,0.027920611292788652,0.9354312659315208,0.07666097168955524,-0.09371515938652972,-0.010680783193983686,0.0038701021127622594,0.006444397500503673,0.17836694349630725,0.002583600165418785,0.02229713044274287,0.005341943746396494,0.07291501424518841,-0.0009698716150845997,0.0013514473846653237,0.002237701396503714,-0.0015029040567026758,-0.003374462911020402
IA,-0.589203662919088,-0.19431431716136818,0.5729131772745178,0.08070564790048959,0.23762254767671573,0.19964063643684654,-0.04734728655443715,-0.08365068481584693,0.022377433471041607,0.1573161242510709,0.12911730460767787,0.0652669733637166,-0.07060693979106508,-0.2288732043647997,-0.1453714711748287,-0.16377123011458855,0.2111939796141129,0.04843767909673046,-0.03370311960464708,0.08921056625085959,-0.03442434678932764,0.01782046228222538,0.00973832822096259,-0.03585638054861812
ID,0.8338984277975351,-0.034211824132694045,0.2753209279757788,0.11093286138432168,0.09518160592497069,-0.30077515709668645,-0.11179164353799222,0.03514725362947926,-0.08781070483889863,0.037243926761943394,-0.06437092800960328,0.0335573599719023,0.04340710195020642,0.04940019458559484,-0.07703049029259572,0.0034282135724244224,-0.0590734571757107,0.019313520337190564,-0.2936485899953667,0.07328223525639352,-0.009246406478712063,0.04511587867217002,0.12352943047618076,-0.021703868839103097
IL,-0.7640919327679692,0.025314250211149036,-0.024077655431397865,-0.12189127537043039,0.022202988665110474,0.27671377842558526,0.4151418457046439,0.022915488814369892,0.10519184983477997,0.09398218323665353,0.26898221961753443,-0.21673626107952798,0.057054319364541715,0.005684311504964249,0.11130068311805157,0.06220363182459304,0.0178842579223867,-0.05390196797942732,0.11337489728418262,-0.07849326262713463,-0.005325431517525206,0.023528437192503363,0.009402139382868843,-0.05075175646830075
IN,0.5638936219099903,0.0024410855651873765,0.05024272461372525,0.11705531245734772,0.057864596102944796,-0.0018034034115822874,-0.737791254329419,0.1293222421119531,0.08701810673529645,0.16142124820288695,0.13425342137629828,0.19785469641784464,-0.08882748993648021,0.13627240627106024,0.020181866360019805,0.0869372608857418,0.07077577038708266,-0.033445037092235994,-0.0057093986038541395,0.03602642313991609,-0.010384275532955555,0.05631459474345352,0.012127447857899347,0.04462791262948094
KS,0.2279802443802298,-0.1345410355296765,0.19751740312568794,0.8530457993982296,-0.06723370359668729,-0.030426960803181826,-0.19460645686423406,0.12478219806721849,-0.17185177945009028,0.05654409260239007,-0.1255690651504019,0.17729279102431594,-0.07811936153847628,-0.03856784084890588,-0.16503105091413606,-0.024093617452819637,0.09850640066908889,0.049689820210940115,0.09023878317229522,-0.00018081593466168477,-0.04106657828291435,0.03052278947419846,-0.022317607075742676,-0.00449910181994305
KY,0.5474436546071608,-0.07836020172005358,-0.02085784706923247,0.015379724725680353,0.1866797016471446,-0.13706094271970784,-0.7140963126085318,0.0016480414748909615,-0.12490267260902231,0.03558256116700634,-0.16998491856114847,0.16916716949609353,-0.030402588130455068,-0.13693976351551065,-0.17426828009755915,-0.08323135392102408,0.033751462172124026,-0.050855415090107686,-0.1546121545414925,-0.005565044150674641,-0.04432945452457095,0.062420854727292384,-0.02691481522714773,0.029756566746563518
LA,0.9338528759149207,-0.04687380514278324,0.12823616481338912,-0.03266291758635531,0.09137779886832709,-0.01973634997448234,-0.23304555590586398,-0.028643775722154194,-0.07601381125259037,-0.13647569134568685,0.05440773964122928,-0.07342304525871539,0.07745818961079275,0.018537124686625082,0.09051889447589818,0.06106591020933159,-0.1229706420216464,0.08259098331867679,0.052599963156143355,0.009429577233079578,-0.008395278921194653,-0.014030053261337633,-0.029885284068444293,-0.05530266111364702
MA,-0.9198526230721751,0.02531529027494602,0.004021973081912241,-0.08494881713621129,-0.11029140364503673,-0.08474226644388021,0.1367384494297124,-0.04633412671309325,-0.08560014078347256,-0.08840317853967944,-0.006148084150351785,-0.05158392756777685,0.004616146049360736,-0.04807496301224092,0.3021090472612374,0.03242462276707862,-0.08880422071342571,0.08581692102583158,0.017681683437638707,-0.059053682183953495,-0.012491679970370033,-0.061649748798068116,-0.0011000102091554727,0.0750930732998772
MD,-0.2536809489409397,0.06796684456110227,-0.3163996008694885,0.1625312696595377,-0.2597724959097526,0.1770405596446087,0.23946929632329406,0.07198396205348608,0.1680304018955144,0.1760119415054765,0.1534472045526106,-0.13551173651506757,0.026943194056008993,0.015972138540894174,0.2722104893157046,0.0007776134133818175,0.13684533210045138,0.005760951943408633,0.69324297151846,0.001793665495085276,-0.0018916191120375017,0.00984265895499061,0.013737371276291715,0.0018439566380287055
ME-01,0.003575718027771891,0.5831670610817314,-0.35364568091173454,-0.04328789295211572,-0.12194150487273887,-0.01550028661192626,0.4119777610617376,0.12999907014084117,0.42454044198535235,0.04279195171437605,0.0868263023712052,-0.17330102572846848,0.013786086710130922,0.06298787118703661,0.34656579084018774,-0.000977907105218687,-0.04532846663601611,-0.01697646285050095,0.14469549530002357,0.007435984294488251,-0.002941620622689421,-0.002330023299730962,-0.010944103908157027,0.028847371455452717
