,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
NM,0.45297688435144895,0.013201912135306262,-0.14130577497255462,0.2127887431232996,-0.08655522687958987,0.11135696318250216,0.016724855990404103,0.07543143498580307,0.18178415283266577,0.7137505669519782,0.23118287032806015,-0.1599360029812763,-0.0006574779879555848,0.029733180958741615,0.2619018070589959,-0.0006056561848555399,0.1458940265720801,-0.004023593448009488,0.16358148147880305,-0.0016555478720051422,-0.0024367799740423724,-0.0023612643306614232
NV,0.6897007929955409,0.10659307748151586,0.27543598853701257,0.09823627997449542,0.020684385128056183,-0.06084281281730316,0.387553007414393,-0.05152567793933006,0.14212452795175498,0.16863624599874036,-0.06074139447631945,-0.05106217706015624,-0.025022340829693755,0.4032377601220953,0.288942156671121,-0.0037853960484484517,-0.0396427508231618,-0.0060140024010320115,0.02045023330561591,0.00452768835699901,-0.0036925680966074766,0.0033238448811860975
NY,-0.8051630773281335,-0.013260476628318212,0.009483187692393676,-0.13137147214619038,0.041101006566200006,0.20857647716150599,0.2107108825724827,-0.13302501209723525,0.18608997638722025,0.016069617253631374,0.08304248657885063,-0.17275241033084662,0.13994019272453675,0.006381067583630638,0.28829584320365625,0.07255885171291102,0.027321185965400827,0.02248679496413204,0.280700834077871,0.0034507709761646523,-0.053481132065358664,-0.010517491539307833
OH,-0.17712841675982355,-0.03220811880379447,-0.1497369037041852,0.26669066273461733,0.29371031021383326,-0.07241568731301849,-0.2150836650200695,-0.11878418330101964,-0.02834776566843551,-0.08341077909224583,-0.06031305873237348,0.8586031749201931,-0.0037433395693623603,-0.010909152851237714,0.005806900304750845,-0.0014238586508592691,0.039627117321411706,-0.0033873071923650002,-0.07285878236139105,0.000519601807638286,0.0014503873241713471,-0.0006211713496646479
OK,0.8249496751333162,0.0004643843429275577,0.12129518119652191,0.14776499005178437,0.12110456789102367,-0.06621260397343225,-0.3837367957671807,-0.03588554862441546,-0.020503700956307293,0.11144148258109396,-0.18707245449205412,-0.028614562357593618,-0.012866128687336333,-0.07378144212885276,-0.1925133276153005,-0.14434718506062877,-0.03172292999864038,0.013677006441655027,-0.154213807507889,-0.06759721769541487,-0.006269651693712237,-0.09116695615313464
OR,-0.35094977101457825,-0.03651576483885306,0.14820361481468877,0.21122607536483312,-0.16528791392554287,-0.01913434848509665,0.5349912019244522,0.141624600809764,0.04160063010710423,0.2286584812661463,0.10714450768928027,0.10023299009849453,-0.011326448682753246,-0.009930678489195923,-0.050105091232094244,-0.008258960309626551,0.6223030632388383,-0.011318359250094964,0.2105509515589042,-0.004207703092527991,-0.0006471145979388474,0.00027418419964100177
PA,-0.8209355269977819,-0.1355039812494513,-0.20362942464568815,-0.22600878731528953,0.10169377961652562,-0.053960633991444934,0.08035812344756171,0.04191351874720969,-0.08777233485536354,-0.11886007130579489,0.019194945089880268,0.2605234863870203,0.05216989817954596,0.044142185128909224,-0.23019864768606996,-0.19769549223775584,0.1259226354408019,0.03443777206740214,-0.12946078914951786,0.07416915638496831,0.018365808343103456,0.034980793427080464
RI,-0.8608343685623242,0.021614633933910242,-0.04002783727096541,-0.23610672978826058,0.06258473371632338,-0.16451826106780568,-0.11380709474086523,-0.08569383023090987,0.10279247406394089,-0.051191974503076054,-0.11859040558103881,-0.03216757957670898,0.04113553704343728,-0.0992869296752767,0.2187869887164507,-0.06258964820906984,-0.149103944572097,0.2523407008924468,0.0811285496026682,0.009485757354349754,0.013902908893991723,-0.0065161109705328965
SC,0.9548192875220204,-0.011624514777716881,0.04872777855427756,-0.028376064612296047,-0.025046184661501814,0.04063950654363551,-0.25635544279778444,-0.011727102755322594,0.025231880000310326,-0.09135321064163084,0.06200895435337959,-0.04042319334218479,-0.004542489693352836,0.05210373444908789,0.1377120959205655,0.07314121507495361,0.02453240376661007,0.00384419265744909,0.030084360422688628,-0.014222404055209194,-0.04236609301045891,0.07866197881559692
SD,0.07520359443836486,-0.049785671299866496,0.7797811125549524,0.2509012030886394,0.16859270476133376,-0.09391085349902112,-0.32922206200091064,0.017896664126854256,-0.2210794070241889,0.027254825517231372,0.002031396329355683,0.035602050516957355,-0.2817300475061482,0.033603778979624827,-0.07024100145866573,0.05808988454464239,0.15805312197041418,-0.017517855462470946,-0.19831426374338534,-0.054342683072601566,0.020464265089331933,-0.019517528289094758
