,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
GA,-0.20790679275922921,0.9542044638076539,0.11073676794658796,-0.04837465564042324,0.08173299643275757,-0.06292686761419337,-0.047555555934080944,0.015740322639005298,-0.111971619032849,-0.011858777068626404,-0.07808934338259903,-0.0619510241708387,-0.0036696778269395074,0.08115317128109595,0.0026682201423610516,0.08441980837526221,-0.03690455040302553,0.006440746273056208,0.04348396929059994,0.11825938337894025,0.0018965734013196797,0.03489853325306711,-0.011133343278271745
HI,0.4458398478317784,0.1361722280673893,0.6198481770575839,0.020747148152335908,0.13449824263903654,0.39166292216384563,-0.0005132833356542584,0.01458254265867172,0.009928187647931493,0.02180933387153174,-0.05036719887544573,0.5015828730237868,-0.003559460953990149,0.0012070199971868406,0.01134095659711702,0.08813052887446035,-0.0009466220833798246,0.0011603903072985161,-0.003166055932270998,0.0014914947221986124,-0.00064152684052816,0.0026736315588403383,2.1253786080609965e-05
IA,0.8639887247045598,0.10092399619724474,-0.12646895484418572,0.17418690294958852,-0.09280747717065042,-0.06257697661765393,0.3807530677016027,0.03733422306999383,0.01816316806066968,0.007802440060846441,0.09156112625599823,0.10674997260306818,0.04175944141523206,-0.06842900829731165,-0.055980561311967436,0.15917642519129646,0.03091051104816278,0.0013192988396058688,0.012000066515650028,-0.020234465899504426,0.0021378712417204682,0.13087550352599947,0.014840178881595225
ID,0.31334464923399996,0.8847174304284039,-0.10124535089816461,0.08363930981424202,0.0451777427288533,0.15561166791639033,0.22289756454437096,0.07354181740971717,-0.03892911905661123,-0.17973795998405026,0.06373825259147835,-0.08868198891272107,0.03189922166389266,-0.03783900495311188,0.02474519054605568,-0.028221424767394875,0.06247181915254434,-0.00796535876477652,-0.023686364499628493,0.019675304662433394,-0.002115683501535569,0.029708467429849013,0.0012413426968147967
IL,0.9750961926990335,-0.0229584021723925,0.21335751277088105,0.047126959024489073,0.019232592516737906,-0.0643804816895216,0.11625161227435615,-0.04661369012420237,-0.06187992530535023,-0.014303458558387744,0.03369076073264592,-0.02833810095059745,-0.025224923754935454,-0.027118844625455715,-0.046062906321728984,0.0007786684113259404,-0.02395216203040689,0.011594057686705931,-0.018810769130377273,-0.009546252311974514,0.021485585249527966,-0.008181237807689843,-0.04794619651110724
IN,0.5115718026336762,0.7471814362065969,0.06866605394905258,0.20185167757799488,0.05947900202567193,0.1782974927893048,0.20130101368236855,0.08629979671381048,0.012253907938684055,0.06778316115354516,-0.004797693718721387,0.1156355083384434,-0.014531958952067549,-0.035483986745169414,0.18530776021598935,0.1690771769877683,-0.0065888690273083845,-0.03702491565106214,-0.030276438236848915,0.022621647278871677,0.027821662012322994,-0.03858141649739914,-0.009830318872422555
KS,0.6697187375224589,0.5129558240108119,-0.09568688738139895,0.03862981057705217,0.07840546120962018,0.10050921282760539,0.23900552470670602,0.46617840135291067,-0.0007412782716124932,0.09164621192606921,0.00599907108423146,0.0008342723749422134,0.030903513380160272,-0.011748699806058959,-0.017490850382435887,0.09936461952335904,-0.0170461206449595,0.0018611920063267104,0.00023681788132291372,0.017405682165214577,0.03891033183705403,0.009804624169712036,0.039184935881134364
KY,0.12151223840644214,0.8064934422179934,-0.2608861285047541,0.25919395558207065,-0.12228809510189109,0.26122116607471574,0.01711731032768516,0.059997650479189056,0.03695268867617438,0.00037651415268391385,-0.0396749500704476,0.09604843725333521,0.020564199405854532,-0.03436263550866818,0.04074406611318276,0.3469966064834282,-0.07978720709004673,0.010789390843829277,0.03474762152731418,0.03519910546534073,0.020407153853308897,0.04497225882136294,-0.0403566789862414
LA,-0.19886412480554705,0.9435198022026992,0.01709015820762623,0.04551124280726439,-0.05617544087112867,-0.04742079987857352,0.06536754657090618,-0.054322225607837796,-0.006935012870996643,0.06578539647466891,-0.029550172488474344,-0.03263930006674603,-0.12824691757036652,0.09771655220926334,-0.02282827025031309,-0.18119642135722608,0.010645719642961056,0.008863484680794396,-0.11442579869868755,-0.09586777119964413,-0.05035390407589686,0.014167549073793997,0.006480617755331851
MA,0.9079850778420642,-0.3035349169367157,-0.004905093922877663,-0.021824452031821862,-0.02832621153100279,0.2104650750719836,0.07826894454482462,-0.05337547338726989,0.10015445478455604,-0.04131478262214462,-0.05907476936071463,-0.06300578210062942,-0.17890155188182488,-0.00457381837589627,-0.04806051713958662,-0.02216308194400985,-0.00827036606958063,0.04879077750704871,0.01736581416661644,-0.059522140938465105,0.011425205741212892,-0.06913949059137002,0.016971265941212003
