,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
NV,0.6301276794736073,0.6752289612166607,0.22408321429098776,-0.03335420684398164,0.013711377944943991,0.06812503274904025,0.25983234369752817,0.03570633899144731,0.003258636439165957,-0.01797617220898568,0.024082118835899176,-0.058579884663028936,0.06450103586830108,-0.028273242767681877,0.11414233327070608,-0.1580858670160093,-0.001308464609924995,0.009955105538637687,-0.0405975695479725,0.02850520728670401,0.06900620366581489,-0.048681241958225804
NY,0.9537416529489053,-0.10122468740472813,0.2106978351122571,0.04217971142034675,-0.07853469434940835,0.04631335004989045,0.11552373114735302,-0.07727709207207267,-0.0165165815500755,0.1068706906569281,0.00013115324845616925,0.07003760927145437,-0.09301169296574521,-0.002089968169358128,-0.04020956554017784,-0.014414134479703716,-0.007605312348177156,0.07790386091513418,-0.06846384396923304,-0.05232639362793726,-0.03265336003378724,-0.022148218256614945
OH,0.8478200765690731,0.383564124919368,-0.07520957382397499,0.13949408426772478,-0.098889959910065,0.13713465597642127,0.01675389921349158,0.2118504259232514,0.04352306146179055,-0.06822549063854895,-0.04690411395023524,0.0975622939651244,0.028881331486465288,0.015364994269177767,0.20072729290935143,0.07999024009997334,0.035339474860804965,0.010992512351129679,0.012762166946406854,0.04041791284984042,-0.003654693690859496,0.008278522973240063
OK,0.05439385834112058,0.9402328301941711,-0.07919694978082298,0.08618237950079016,-0.0740587870491794,0.10095757506557014,0.1614571968846019,0.11874063210846293,-0.012031607257016191,-0.009940847556238992,0.0022177382067610257,0.04417228213968433,0.024963526461023407,-0.08862436257627455,-0.07714191206151207,0.22367210277360067,-0.021079144231851484,-0.03890228645665891,0.08211920583242933,0.013442876792169588,0.00340170951271248,-0.05947557087477519
OR,0.9121550423084267,0.19789350923263752,0.04753173232384253,-0.04320474477061189,0.12725284962019723,0.009699725614889581,0.1741770908804661,0.11990936861406871,-0.018224277466992893,0.07280397027633599,0.06967830969379506,0.0036398300779510763,0.2895363868377328,-0.053163136834627915,-0.006993708619345047,-0.029922215873457943,0.028793338105891582,-0.010103252938524638,-0.019018849392638308,-0.007933165965602259,0.009271341185224892,0.0020957039055077465
PA,0.9526806600306577,0.0035340060444990014,-0.09938166811736975,0.11277985781686631,-0.04660414519662194,0.11092886670315537,-0.04680081070801727,-0.026455152436503527,-0.06661698887025512,-0.12446395992448324,0.04661247050374389,-0.00962565049624835,0.07466870776210462,0.09236518893377221,0.05954668601482606,0.2046727560354479,0.030241085766066062,0.015926204898777687,0.010886915828723073,0.042363077575463114,0.05676746133019854,0.017460905871819775
RI,0.8997611480105454,-0.1174077112602682,-0.015144207290179366,0.07825928604657788,-0.10399139530886228,0.29929442374273235,0.03231527259445917,-0.14220550399600856,0.026474915674214557,0.02382853048503782,-0.08527595866168516,0.0522788511508822,-0.21788049218084884,-0.02157546355374582,-0.028080648979446603,0.12209041831352689,0.05681356449097731,-0.04932092035427852,-0.03227680692192286,-0.044525590714278626,0.0168685205855242,0.012092594941818928
SC,-0.36695997133338853,0.893135527302098,0.13201921254375615,-0.038426148766516594,0.016088143160490394,-0.04614738789783689,0.04265164918516441,-0.06360827123710618,0.05421894918203175,0.06598587751146785,-0.04380067571700007,0.0759415965076459,0.002665797891132827,0.10189809186156139,0.025931584699753086,-0.18168033848027518,-0.029670991612321767,0.03271510090608868,-0.09631406709634721,-0.05518485278722524,-0.0012729281022821725,0.04486412391506866
SD,0.5112259619642179,0.4187092052124964,-0.3041799235454631,0.21681449675078118,-0.02258433748055892,0.07922165086099107,0.652810279472257,0.10965415152612135,0.043225163938644215,-0.0308650981117311,-0.032549775279267064,-0.015819074893539408,0.04102375347077128,-0.03815475279824041,-0.005560298623810189,0.018056305288641383,-0.03848505745464908,-0.019422806401301562,0.03757520674607074,0.020928177432869614,0.0611912565999431,-0.001743453403987234
TN,0.0792205528287084,0.9375908158819142,-0.12696074881933145,0.16503759416321098,-0.15598966861319558,-0.008331710175393409,0.02519280019157663,-0.06836999363312746,-0.020265718284398913,0.05251311475307846,-0.014542847334157817,0.041049593278014364,0.045719534532964116,0.0840326702957095,-0.022784939548796658,0.22207915164391112,-0.0691178170039512,0.05812572938709003,0.025341399294605,0.044964767292404284,-0.016424945142534543,0.003197097909433512
