,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
MN,-0.6211831305013654,0.057428609848125846,0.4942488028366696,-0.025016641644975298,0.01014159554361722,0.0006442264720288661,0.18495189681039542,0.08002428991044794,-0.17119824785401644,-0.18596523546218635,0.012385289594059604,0.041719944949421515,-0.058111459623031235,-0.17903180751339212,-0.44039979645746424,-0.03766888514481981,-0.068035581433268,0.009946817575889609,-0.1831529586092596,0.018520914614067793,-0.030059420482372378,-0.14372748897917512,0.01440993662835887,-0.05271031340142564,0.04600746456682207
MO,0.4032436280985797,0.050032128733036384,0.1537425384267907,0.11961863360440705,0.28720793078048207,-0.09269108689768414,-0.7675743498473837,-0.032934795438004094,-0.031107003098668325,0.13559298287171778,-0.0724389119158184,-0.04488585585707054,-0.04085781129122263,0.044707425812874395,-0.2033494849903451,-0.1164508998014143,0.07366793745380534,-0.026179221977289856,-0.22723968026504238,0.004142699034125366,0.004213135170182419,-0.0067366905800100435,-0.06985118868592435,0.05378869532516508,0.030948492280370922
MS,0.9435042527958823,-0.002475016671396542,-0.020161876980412642,-0.08646257311185236,0.022836849555134688,0.0909967643481731,-0.1802030979393803,-0.004646419450997177,-0.013222607155821195,-0.16200659023459676,0.17286123993567404,-0.10213423677270254,-0.04705796361056443,0.08010896315301574,-0.008815154594660406,0.06589530392136607,-0.01662181840170522,0.06316296853545962,-0.007659092842905618,-0.012323194623807723,0.023739907265072545,0.07852824170782677,-0.020470703184570605,-0.07778657490619122,-0.008048465553151734
MT,0.6827368814341328,-0.12230164652999008,0.4529681192925949,0.11719774299041139,0.14500060075859517,-0.2835326302770143,-0.1000459216980662,0.13176659240472308,-0.058446987189457775,-0.028142363186362086,-0.013368372030799675,0.1915861511925856,0.05724700369987624,0.026973526749720922,-0.12194556215872408,-0.02767102438501562,-0.003267969385900726,0.016065616240587832,-0.28738264656421175,-4.6474568345725886e-05,-0.006101859609477847,-0.005230287547273102,0.25155375089354715,-0.012449262647126095,0.017535094448173843
NC,0.9246043285199518,0.029197410900002392,-0.17967296111704392,-0.11614258262543917,-0.0835818371566881,-0.003796880531498335,-0.2398139397990056,0.0718365305874342,0.027727486627133296,0.15678465127056293,-0.0624738487119988,-0.012554157288180214,-0.03579287223864068,-0.0234503350787973,-0.1142098651202275,-0.07496542649255192,0.011108286188847176,-0.01758741161257904,-0.012984112394010814,0.11136682079820895,0.02940240067685259,0.011692462169668716,0.035548328222490135,-0.010731644902572744,0.019260377571485875
ND,0.30991967539114823,-0.000424099932957635,0.8940816657911125,0.054450642186182195,0.15060646372824268,-0.10815011171285202,-0.10746552221370122,-0.0016063477674788463,-0.02846570387392212,-0.07687485217278078,-0.1387868920056769,-0.04990072429819368,0.006667738033082172,0.15339857132704343,-0.08852028763697252,-0.016545446156126763,-0.031780258192189416,-0.016533223255795402,-0.12383156981270091,-0.011465070251112146,0.027764241830160307,0.04557068388119437,0.02515478941249099,0.013518242219618844,-0.10655405787035135
NE-01,0.027437230075591405,0.01523755187721952,0.002690680421881545,0.14063175313757795,-0.055469979836082914,-0.10526194015363564,0.04079257236213771,0.9964577909823328,0.021867933656592977,0.0264207994104859,-0.003633287577645067,-0.06810286045009163,-0.0005633197556881499,-0.003173604413865403,0.004733392972968568,-0.004251307464689213,0.03525968357103628,-0.0030002977576896626,0.011459233344937664,-0.0024690166944103726,-0.0028271846517483427,-0.003693248543953457,0.0010853676230771138,0.0010056829370637612,-0.0013007693622615554
NE-02,0.028970276630736935,0.08659275259232872,-0.10828907273255885,0.0959813605613136,-0.8341963792941037,-0.11571460675254688,0.2161148254148674,0.44088971438451047,0.16226543007415817,0.04216674858482854,0.07620638263054134,-0.07853088564051632,-0.028434518883604182,-0.009457525474131992,0.0030486466036309455,0.0515037629408263,0.03773397470288767,0.006811780822519725,0.06382327441278247,0.03174547840887849,0.05602033336013799,0.04664355657371764,0.027908414722546668,-0.008150143534528028,0.020500353986159573
NE-03,-0.01225900623687996,-0.17232873048677078,0.12638255782702643,-0.00016189841546914046,0.9257490729229082,0.01980982263617711,-0.20533228255698072,0.2375629535304485,-0.10511405838257624,0.01179040184445848,-0.07876691159914914,0.037422806430079406,-0.01840166013213201,0.05052743826120805,-0.03878719260772441,0.019945042511231678,-0.044570568933189995,-0.05660363452829396,-0.05117240825544456,0.005755657876834339,-0.019660300461443774,-0.04936052914259195,0.014481160378877525,-0.0052155813637898805,-0.015114017741708856
NE-AL,0.6781572546450567,0.03170765654720803,0.4287074710892298,0.5052009309245751,-0.08035223986599394,-0.07911165830287883,-0.213099295613879,0.06537662071860396,0.11932902276349307,0.11272440992799616,0.02593863554950288,-0.0887841989310268,0.04233611648132508,0.03407822436911662,0.10152295500597297,0.013816316530733874,0.025814987627167336,-0.045532095266032406,0.061418950326682153,-0.11474522567727227,0.0690739835088396,0.004673260586693655,-0.01746500497924614,0.018974006070368168,-0.022834983646790052
