,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
OK,0.05457838321516159,0.9407625132188414,-0.0804795416777014,0.08914287410273253,-0.07176748537641363,0.1013357974133915,0.16048252635455726,0.11921029444704793,-0.043992183351318326,-0.014892680106746074,0.001332945157747324,0.046152168829741394,0.027324897918067418,-0.10928577280002753,-0.07792422297832328,-0.016763951883267108,0.21606353622794297,-0.08361793291662509,0.014413000499287005,-0.005062697200876771
OR,0.9122178011501907,0.19812894124172248,0.046874409858787096,-0.04611494068662818,0.1264725886079985,0.009708061373865177,0.1738394575792849,0.11970477421112817,0.011078806688470362,0.07478340352691776,0.06769570686287786,0.004654582895262161,0.29264826518469766,-0.02996407144123697,-0.006135841032347796,-0.031385182282452524,-0.03131828014806776,0.009899587158281915,-0.015226633974136346,-0.010552241101065063
PA,0.952742604836778,0.003665184432254043,-0.10048339711591511,0.11433367198520376,-0.0436526725693972,0.11085685569040783,-0.04790911694117308,-0.026019382042330317,-0.052460182719746624,-0.13383028080223633,0.05039381035868337,-0.01020179663234548,0.07816776282842704,0.09104699317374296,0.06382236849207802,0.013412415588552834,0.20945035617509034,0.00866700786100779,-0.03843676662796298,-0.0009141236293023748
RI,0.8996938617951714,-0.1172104449238548,-0.015177221408822841,0.08267446069729253,-0.10221227025809482,0.30021956774861686,0.03218044176596394,-0.14169407770630058,0.019267871253493267,0.02503952997618932,-0.08302529653022268,0.05330717000385917,-0.21384694112831362,0.004125513209544965,-0.03262186847963961,-0.0989272581108916,0.12105229458082833,0.015003974290441752,0.014602642206808337,0.015459431397283027
SC,-0.3674730244800114,0.8926109733152533,0.13355972357448506,-0.03859707521375814,0.014938330806611794,-0.045942600576880585,0.043773160482828026,-0.06506556334720542,0.09121071040790325,0.07429183183681652,-0.045003304264568764,0.07503390726700053,-0.004055268193349145,0.11773389871067667,0.02539281100746114,0.04779371726373786,-0.17832798968760785,0.04810627821438939,-0.0013527962113472724,0.03154411211878346
SD,0.5111140620199937,0.41901522659374574,-0.3033270136988865,0.21667273495085562,-0.017268000904018227,0.07920420645961178,0.6549219005613693,0.10501237650875586,-0.006764685072563781,-0.03153962077802475,-0.030845532676691108,-0.01799833498114844,0.03864518045724009,-0.04519223717247894,-0.0065481350667959065,0.0046296179927711135,0.015505772397052546,-0.05103042413923192,-0.0448899852478367,0.054206732208286285
TN,0.07946945145516435,0.9376969242165386,-0.1292871273163251,0.17012796708599817,-0.1516177704673954,-0.008109909266827274,0.022328098523783233,-0.06707699749900058,-0.029481776916857844,0.04569500283873707,-0.016567014755741686,0.04401616751172674,0.03931389882668618,0.04119543914515991,-0.01807034552192287,0.12692017215469914,0.21847319738015158,-0.010001028394683526,-0.006088989877985876,0.0015238551911504051
TX,-0.040113358211724376,0.9873851489526877,-0.008053531170818426,-0.05178593527083085,0.06375387452642998,0.10536631280423277,0.03633942404159301,0.06675939624847446,0.02440183209293661,0.0834745869043673,0.03452591418364138,0.06316732057151603,0.020878958712845282,-0.0959305572426397,0.004503409008736226,-0.09097299189722792,-0.05213839673785396,-0.00526357699935478,0.011044380455472425,0.03500823350014906
UT,0.1741078607361353,0.8984182029663225,-0.0034352198409105493,-0.053253375109804664,0.14132058057799346,0.24336314748493879,0.04613874376038214,0.0033412322658582633,0.17849173355341844,-0.21447497461848344,0.1255455342868024,-0.05414931620047063,-0.044020146349340164,0.008247790639086159,-0.006426279622101041,-0.0010307084690932028,-0.09984222987369527,-0.02049557891324295,0.030020954536900322,-0.045052954183357474
VA,0.11987027446231002,0.8824578650356892,0.31315048409910895,-0.11086912782972694,0.12091144419662854,0.012951320399516634,-0.07532500500019466,0.1150357643275872,0.05232252496612037,0.23111890336462657,-0.012712574495813013,0.08008880536531252,0.05102812715763821,-0.042113125628382576,0.053334300905239364,-0.04229820403675098,-0.15362382188088095,0.01777097259018653,-0.037796545160187774,0.043653012057017805
VT,0.8763439444985984,-0.3775390423093989,0.2447769487265445,0.014037538846286628,0.07170051272879817,0.0029866532916421567,-0.03126929500495449,0.057627870330857915,0.055119420234756876,0.13995640507766285,-0.011851566780277233,0.05189078926086536,0.021856822222940425,-0.009695122299920906,-0.0362490826716855,0.024404808744435926,-0.08300354815445944,0.07013033977462792,0.018915670168370913,0.1215616141502215
WA,0.9344819744897939,0.24636992975905658,0.08668743391548513,-0.058714233597474644,0.08793854592218689,-0.03745415080416545,0.04953050553053516,0.1026627396729568,-0.08572803530085031,-0.1409632785034654,0.0830086827403781,-0.03270216080866276,0.16320319850930728,-0.02195187933352442,-0.03796250141793214,-0.04101410567354131,0.0031835202516447545,-0.054015497677389314,0.013937467674654223,0.009439639844788008
WI,0.8585286654278218,0.22378324310857187,-0.12714942511617766,0.037595128353559826,0.032864539064232,-0.06354828671958325,0.4188883488536483,-0.08367464125491549,0.006438338706112282,0.07867322990712357,0.027868627295059102,-0.0018784709721437472,-0.01614828651181969,-0.023872530152695436,-0.018031110548524677,0.0005534161135285987,0.030580573060468016,0.04082562480890747,0.15698821047693134,-0.08319054196333246
WV,0.1721406865743706,0.562909456350649,-0.4210307471926581,0.41931585661517756,-0.25530217485786943,0.22885438657644336,0.040645027967945134,-0.02420044816542004,0.022598777039181783,-0.034113760228967255,-0.069672519468497,0.06406357638158865,-0.04427847518212337,0.04193340596737727,0.016409523468184334,-0.04246197017172965,0.4456153619556846,0.025423778973604066,0.003898396978686426,0.0019912596378773985
WY,0.25750632820046504,0.8192372851371139,-0.2483748140655568,0.23084183155277216,-0.04583310193050004,0.23493969916607033,0.2207829792067914,0.12226791113260756,0.00022248638918990075,-0.20939098335624837,0.04587473184302696,-0.05359565104534402,-0.009127781269946308,0.026579527272420272,0.01560522036574085,0.006521364437768455,0.09068799231533277,0.05099642196081947,0.027638319103791182,-0.00883880767672282
