,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
MT,0.6826134363081892,-0.12258734421256237,0.454020342787876,0.1168051900798664,0.14421387617698567,-0.2833260688493855,-0.09968601068354906,0.13193289891181353,-0.05893790817416329,-0.024322829518672782,-0.015663215601406114,0.1927460853651009,0.08213868200536004,0.026575143437022,-0.12218310183328275,-0.28518554579431343,-0.005951737288404039,0.0070703349492798745,-0.2473914079271328,-0.005655205273503779,0.0032944987688073805,-8.25268974620463e-05,0.02980492463237282,-0.009965998951842163,0.014668329389257304,-0.008643328485640235,-0.00854397524713016,-2.7207268695865118e-17
NC,0.9247908379991275,0.028764523455461193,-0.1796026499731825,-0.11576433131849115,-0.08321305754097152,-0.003938766181694839,-0.23986443293573542,0.07189705434911524,0.028212092378498952,0.1552480405164735,-0.06140825053791773,-0.01293733718969028,0.003024235696815401,-0.022685513231387157,-0.11410011603163385,-0.014864821981096185,0.013530029671510518,-0.0106759137847671,-0.018280130472247937,0.08877310816537423,0.033482651448580224,-0.017224683028347416,0.07126694221621642,-0.006397067377150554,0.023026411950679837,-0.08510770112436042,0.015687989454273653,-2.9018259722945585e-18
ND,0.3097795418640319,-0.0005086741896358358,0.8940023687187066,0.05547822368633893,0.150616385044715,-0.10774183765416309,-0.10788948022372148,-0.0018181540754378,-0.029379092862095304,-0.07797804877783038,-0.13806480822300274,-0.050582234847935476,0.006830161194512703,0.15502744935829804,-0.08658251587658787,-0.12779185199299622,-0.02874862741945737,-0.012659786606161568,-0.014107717455539273,-0.02341367941408151,0.03518738091268132,0.0037737264630540463,0.010459138852179717,0.021850900849728398,-0.1094279009924823,-0.0280912402860076,0.0031425346209572927,2.720927484931639e-17
NE-01,0.02745031560513423,0.015224975483741965,0.00266938467519021,0.14053397553461394,-0.05575822502834433,-0.10524144453908246,0.04068025344904998,0.9965523999492663,0.02210987627097079,0.026306588644136483,-0.003551484345535398,-0.06796587013224374,-0.00047068048382046016,-0.0030611456531370916,0.004523972876016027,0.012275899651673102,0.03586502362735658,-0.002539467311251478,-0.0011186519102971857,-0.0008196446950965352,-0.002882275464202167,-0.003248354929347636,0.003984276999305838,0.0003301345644470831,-0.0009988089434495452,0.0032252038905305853,0.0019892069629149673,-1.1690112481506447e-17
NE-02,0.029054219124020546,0.08707079102655393,-0.10800151901368127,0.09574930208183555,-0.834789528322213,-0.1154620325471265,0.21592338963273475,0.44020872634640307,0.16152349608342634,0.042500842866472564,0.07545247423823649,-0.07857731181411547,-0.020388379269788384,-0.011448075288973902,0.003444522189095652,0.06499766215260962,0.038582933429285655,0.0008711978391705158,-0.026627441874702444,0.007318116450732956,0.05533106829686335,0.033326600213381775,-0.04647879100738426,0.0010102322734364961,0.016780318334410953,-0.05700609136011113,-0.02244914359332229,1.4078048211094482e-16
NE-03,-0.012171279403179863,-0.171985009508546,0.12606503312623,0.0005192650080284039,0.9254705970439552,0.019980463111890057,-0.205428205282007,0.23764250012828728,-0.10600209579433814,0.010672224113519979,-0.0791069467924655,0.03675327754915366,-0.008960696673397956,0.05049475993569024,-0.03746734179605593,-0.05412823968853127,-0.042406055721512036,-0.04482732517666307,-0.010438984263720696,0.015775276599802726,-0.018923055492979454,-0.06158784155381851,-0.025325632458769728,-0.0032900901521781905,-0.009651742506839442,0.004323287714713439,-0.029053520022876114,6.806885382923304e-17
NE-AL,0.6779958927384857,0.03151169305733142,0.4287692284652109,0.5045193678977209,-0.08016090130456528,-0.07925432793205851,-0.21304846276621034,0.06554446506841195,0.11980659813328749,0.11355240849918846,0.02571672072823912,-0.0881129659509008,0.006891010422448469,0.03601422847793434,0.10062071266950205,0.06418216946306174,0.024324138037551814,-0.045183881506763265,0.01246188220704815,-0.0928912216914034,0.07092735545651833,0.0019189735474429014,-0.017896838767663494,0.016506786260095132,-0.0250990713485616,0.07824575664063962,0.023060773028210715,-4.734906697197558e-17
NH,-0.14966745743250853,0.08599443933990952,-0.39531059125077367,0.030775705283714237,0.03561154874509446,-0.05968771083517972,0.06666155934896179,0.013160828561559732,0.1931252542529152,0.12343380261877171,-0.03161059504133356,0.016800583118995148,-0.019722148074829415,0.00651158444866954,0.88063896931238,0.09622642512516669,-0.021854542819010246,-0.008816468186111563,0.00603764530320589,-0.0035675633344591446,0.006668292333187735,-0.0288540213369641,0.002287581480938493,-0.005559098116419165,0.00017242448722914848,-0.005032587804762717,-0.001605100492185345,5.5523086963871294e-18
NJ,-0.7188624300612009,0.07212585642358604,-0.1894266966963227,-0.21922179110676093,-0.045968588623269975,0.1090987389756705,0.36109631119747937,-0.14271350108014463,0.17216372700365784,0.07877868900822119,-0.058964430417026086,-0.012115763992756129,0.19551036710442785,0.06064005704861006,0.31374327358597515,0.2489328729683458,-0.01572128288577386,0.013106788720262557,0.008136559030176021,-0.008403271685466559,-0.0032431667045553915,0.005030578008300828,-0.050635555425239225,-0.03809388930617694,-0.003933944561983736,0.1412144598959376,0.0044771495000247,-1.0462951904174153e-16
NM,0.45238788545935177,0.016775217376737143,-0.13976858283044202,0.2092625116152747,-0.08719949826395769,0.11207561241190785,0.014451626098220422,0.07606473892538755,0.1811350865726484,0.7139767269979108,0.23062003600218567,-0.15902300362100427,-0.0009789053984923981,0.029364670677209666,0.26455910176308084,0.16502453488906046,0.1529772654374353,-0.0038671781051275306,0.002767781420258936,-9.490548649045438e-05,0.004916278167520906,-0.002546000242949092,-0.0017681801128798594,-0.003412334849831523,0.0019407986385149237,0.0025568682833150285,-0.0007277666142049253,-1.0420721264293011e-18
