,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
GA,-0.20834798313535055,0.9538600466269939,0.1126012549921013,-0.050958571796958604,0.07899655346105539,-0.06439362322207544,-0.04691426968346411,0.012600012011097502,-0.13044928673804665,-0.010670951249561099,-0.07696722547697483,-0.06610340561253066,0.007704594878615898,-0.09717527348188074,0.019197677510220057,0.08111508667768272,-0.0026674600473355512,-0.038507402137078726,-0.05310941601650084
HI,0.4459783351544104,0.13642756194929662,0.621112656318629,0.019153802032145627,0.1327013175779239,0.39339234108161497,0.001206220882824029,0.010795971055869177,0.0053205661905126175,0.021846931959149496,-0.05059320504702311,0.49751833539320367,-0.003190952590369779,-0.08798735590334411,0.009849292854385941,0.0015141697547246678,0.004155741398093325,0.0010336426178856179,-0.0015317771093351384
IA,0.8636625608675867,0.10093330707232222,-0.12580019524285038,0.17838512934282727,-0.08592611036691569,-0.06276545348402145,0.38229493463550784,0.032205884036288566,0.01803833006951502,0.008745684952243005,0.0978186688115966,0.10374677085369528,0.046165748239969225,-0.16677456816996816,-0.048292529263938226,-0.054275178812200585,0.1171895531152689,0.048486411260525955,0.02319146778648883
ID,0.31265232544169935,0.8841706860148234,-0.09824909817526126,0.07977102646284502,0.04888120325465505,0.15419384467741215,0.22609519104340317,0.07102827712882909,-0.01836603462809423,-0.17832944897127667,0.06858500583284215,-0.09646887344517624,0.04515239578673805,0.020083739379161334,0.039035983546230314,-0.03866943688332125,0.0017985196086269467,0.054920236511412354,0.0025926931205999546
IL,0.9743347666086294,-0.023352071293334525,0.21723322616396018,0.04579814881293811,0.020878791453324656,-0.06486424605939115,0.12038287045407928,-0.05484491554167782,-0.019018855265215264,-0.00879986130242871,0.037480394717322,-0.038594241103201504,-0.010336457528303295,-0.016362285615447076,-0.03507006075870299,-0.0005405863810881499,-0.04113239270156716,-0.015299296994372083,0.045841922910278124
IN,0.5119364052602461,0.7478635220758111,0.06430307799139079,0.20378213211175925,0.06734694037785839,0.1810820588398637,0.19996398492450693,0.08586219760281814,0.012052960450763886,0.0673381764039125,-0.008458918884238616,0.12240124375025517,-0.014621116443223189,-0.15713940282119257,0.17998642622679634,-0.020173519303850373,-0.03841583741523978,-0.006660397977386767,-0.025715243366672913
KS,0.6695165228283032,0.5130787823862232,-0.09349240520026719,0.03345379820701185,0.08027908723239677,0.10043615374927217,0.24551429425280738,0.4538733927775091,-0.0032602436041774293,0.09750169387984693,0.008933913776321087,-0.00637312547071109,0.03432851186089093,-0.11110156787949917,-0.01989742806101699,0.013525319981980949,0.02352233427929203,0.0010568651305050791,-0.04126295247393138
KY,0.12144714810639048,0.8068882888131317,-0.2649543620062438,0.2679397577653105,-0.11144462617922854,0.26196171226791237,0.01608165622734392,0.05917225520609442,0.03454745021160962,0.005131456710379452,-0.038722459939677115,0.10143101632647339,0.020652827243620497,-0.34478288634597004,0.03583901691815174,0.004133774752599793,0.037171295014363226,-0.07441476116808161,-0.011109789943197926
LA,-0.1996557176039041,0.9431203545274933,0.017467635187147258,0.048087930020886134,-0.054226142031797146,-0.048487823493120995,0.06542962976602305,-0.04880058415129334,0.006556120256026579,0.06459547275022118,-0.028465085507089604,-0.026987882758742098,-0.14223681667351865,0.19785390598405203,-0.04393404704875345,0.07261493726984423,-0.035564542971314846,0.10791186351420752,0.06326415051256777
MA,0.9086221824345206,-0.3031343097324603,-0.007277785683624839,-0.020880998945663816,-0.02868352630194931,0.2102571996287957,0.07667977823564147,-0.05449265663389705,0.10516298611336866,-0.04169921613189107,-0.061481340257798237,-0.06346719644317401,-0.1881250395013091,0.029918206526420597,-0.05082527220216589,-0.0032000725097594044,-0.01519485943304795,-0.034022484322538196,0.015352393882997285
MD,0.8461187767230839,0.15682217947373497,0.35260325994529806,-0.11454594820557625,0.11903084934463821,0.03313732807905188,-0.03101718612085086,0.10944304788237318,0.0036702176510315836,0.3528645833089708,0.026458462729628453,0.006615212246379496,0.01750942028043072,0.04243059123337565,-0.0015982983047173572,-0.002884974264806447,-0.007688486123462397,0.010364996631472827,0.02480411922678786
ME-01,0.3889153576973468,0.12691245554722533,0.8526922792198836,0.033335133872401945,0.10262614556658883,0.1275723377492713,-0.13821822251949722,-0.014820712485943683,-0.02881793240487273,0.012318282826521934,-0.2765869975049712,-0.0012383114809834837,-0.03146446398965198,0.060129174021898754,-0.031499486368578904,0.002848081888685134,-0.03319122286654185,-0.08447056775183348,0.006668119763885803
ME-02,0.3053034455380462,0.1970456725319052,0.5371620275135676,0.5651419591309281,-0.2777219954199225,0.022288829730845585,-0.017624973606934654,-0.03973122184948093,0.013687971816149254,0.005033468800242024,-0.44885037745416706,0.06578788245993213,-0.028434123468136396,-0.08761268898371538,0.013041002804684931,0.012011687147714447,0.011844004011183037,0.0258922113929998,-0.008431263009430439
ME-AL,0.9141876946543166,-0.1784437709946911,0.03472411559272578,0.12023868680453473,-0.031457963601142114,0.1492774975457666,-0.0971426878035151,0.15271127663763348,0.0770840437806501,0.0940557726567352,-0.14056817608279912,0.12375496826548874,-0.11965158221069519,0.05860028714197388,-0.0024381828443755344,0.00651554666049536,0.15565589257250878,-0.031239548320806408,-0.05320290710471292
MI,0.9579178999914197,0.009008096809237942,-0.07967053455689983,0.0919189567747884,-0.025075800267413115,0.09552996189350102,0.0876372358564257,0.046534010774357544,-0.14881809367643076,-0.17474911399497506,-0.0397690793243284,-0.009603896604385511,0.05490886884773622,-0.0861031226991028,0.05620767044247011,0.005070115840822174,-0.016177284937016943,-0.04285547435837945,-0.08570889456846854
