,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
MN,-0.6212137825076647,0.05797955035971323,0.49368074388991456,-0.02363226053960986,0.010198438292121295,0.0009641597592078434,0.184463930541001,0.08005706866011797,-0.17151242837500827,-0.18805946584632993,0.013849177291219341,0.04076885100692334,-0.02968129467012663,-0.17757189862616987,-0.43894229851166705,-0.1886105197080509,-0.06398412404141872,0.03239538621463728,-0.010627576304968092,0.049210720288223465,-0.03160824439997187,-0.05900659977408067,0.030542135147223686,0.1329692527648787,0.06399509028778574,0.025982638769517386
MO,0.40346242025156304,0.05056142195365968,0.15291374595152327,0.12029904361939166,0.2872872408276426,-0.09265380759268328,-0.7678889193140477,-0.033147660802894385,-0.031530570705754137,0.13434910988499169,-0.0719591739150637,-0.045695583506563844,-0.04891915430678194,0.04397362188055701,-0.20202339500242564,-0.2284120418874163,0.07296252412928778,-0.023923532871678317,0.0662170739353323,0.011838172783339538,0.002235294888763082,0.05491479844675065,0.1176769812054462,0.01252770002110292,0.028269988625289077,0.010175137233931372
MS,0.943596047349067,-0.0023420731358027485,-0.02024242308559408,-0.08738533920974384,0.022709468961309535,0.09073383581930343,-0.17921459848691204,-0.004553912794189072,-0.012980776460161136,-0.15963460858640413,0.17159010052055268,-0.10118214621345421,-0.07064215651648971,0.07544132135440192,-0.009890437225722023,-0.0034557021238786436,-0.023481618560094137,0.044942086823885355,0.0023113629563045117,-0.037266098033641504,0.017142636699127734,-0.07537907627790588,-0.04892948523066049,-0.08636390674799799,-0.015476912209282724,-0.038476080867257886
MT,0.682639325065791,-0.12303019270231463,0.4537549493384312,0.1169092858296526,0.14479698000649407,-0.2835535430766872,-0.09980953334889302,0.13211755083468985,-0.05815041780563133,-0.02506978344830505,-0.01437235681610229,0.19274235543616489,0.08226581731630353,0.02771913466512746,-0.12247533595197072,-0.28540846128147723,-0.005643686163074373,0.008574399537002918,-0.24561809562439327,-0.005721392325933508,0.003981020216194451,-0.012336685383102603,0.029046728759129017,0.0019084636038470073,0.016083967716021344,-0.009595810244210645
NC,0.9247941218313009,0.029062647152388398,-0.17948548736581157,-0.11589198648081461,-0.08349764883324887,-0.003804344419034771,-0.23988194952779848,0.07176372462778853,0.027710079064007617,0.15573990861800155,-0.06216515384949827,-0.012954127284838397,0.002686488483474342,-0.023672663855248216,-0.11378225262204684,-0.014635368126463993,0.01326343646534572,-0.012777019389445931,-0.02009766042908249,0.08817828051529802,0.03343892526533612,-0.004113075931918263,0.07262222794069662,0.01412189487492382,0.02084135884188785,-0.0842033317945404
ND,0.3098269980277655,-0.0006084599377796519,0.8938715811456552,0.05545595901490293,0.15083703083605762,-0.10791429108621282,-0.10792694666876246,-0.0017703958887029772,-0.02904420238173047,-0.07830627557465461,-0.13757700554305655,-0.05056442071190244,0.006347388025112107,0.1555130077700667,-0.08656434654567915,-0.12793556822140079,-0.02875177456308866,-0.012185044353943466,-0.01360289831486143,-0.02401305921550081,0.03480067952650581,0.0206215329683967,0.01041584362627645,-0.005903840188578436,-0.10899371182714504,-0.028828027280555165
NE-01,0.027471258067175826,0.015177648061829661,0.00269728371471225,0.14055676292585512,-0.055271733863337565,-0.10527787269431514,0.040688427397725116,0.9964636123015737,0.021932311507037703,0.026396503092754323,-0.003724825589810993,-0.06806461805555568,-0.0004884865183743577,-0.0031374864415512284,0.004589127427566345,0.01236052129148537,0.035826490675195215,-0.0027258002612588054,-0.0012659832571690888,-0.0009519550289245357,-0.002861740627287966,0.0005992834383571631,0.0041152252462608035,0.003137668524260953,-0.0012106267266822827,0.003284875031946882
NE-02,0.029037116357962436,0.08631807679786635,-0.1082517764536907,0.09602260705745717,-0.8340521318800458,-0.11577750967560357,0.21604525147742498,0.44097899930741175,0.16229930394085895,0.0419086157540582,0.07635121131704782,-0.07868429000906538,-0.020270640828249514,-0.010269650853920016,0.0029170670191828087,0.06476056906950996,0.038831999682896634,0.0029304946272281536,-0.024464374852089507,0.008927559235778267,0.05505599448582428,-0.002193727161133407,-0.04784363994477671,-0.03191842011776763,0.019155175441311924,-0.05723267651580039
NE-03,-0.01218196254035598,-0.17202138624753757,0.12593440554850552,0.0004826307253269043,0.9260142039104903,0.019890992559358077,-0.20560470771754963,0.23728661259096406,-0.10539689119289072,0.010033358663088,-0.07796273929305675,0.036829892495905556,-0.009263174223748444,0.0515823359321497,-0.0376871787330785,-0.05435374511251203,-0.042075373706328606,-0.04362007542411098,-0.00794674226801496,0.0154142344030965,-0.018520740846537764,-0.005811689711145346,-0.02564559983288111,0.06382832013791306,-0.0075055282294822535,0.001994865260697117
NE-AL,0.6780279334249047,0.03162933432453199,0.4288609120419531,0.5044420755632545,-0.08029946247672554,-0.07917432052427761,-0.2130326540534528,0.06543992305887548,0.1194062905527006,0.1138815567815629,0.025229871524478104,-0.08813389822448402,0.007033238464763253,0.03547078081899407,0.10083306295941713,0.06442207790534168,0.024129632323256073,-0.046234729227270004,0.011495615316028426,-0.0937349067730575,0.07108642694896752,0.017890772956411602,-0.017254570861201152,-0.004975718813584202,-0.026749753693249313,0.07850415971924578
