,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
OH,-0.17571060674708477,-0.03687584316584602,-0.1472850454229191,0.26347850254191474,0.2915345274544692,-0.07387252770789271,-0.2134547909324579,-0.11585375428793737,-0.027814542252560817,-0.08210196444227717,-0.060189545215864046,0.8637816147946611,-0.003328545720456168,-0.011078663409766059,0.00872600544653971,-0.07262148183361655,0.03854596637064938,-0.0028171201108773115,-0.0027726365011386173,0.0003906607047858578,0.002596700981116566,-0.0012265744601744925,0.0009781502316134876,0.0018273214461096137,-0.0007883599739023971,0.00039537319708736777,-0.00021538782386623385
OK,0.8260185305735405,-0.002666709923132738,0.12504635179877105,0.1451944339913942,0.12022174371248534,-0.06679606432512111,-0.3806215752603439,-0.032953272821740924,-0.021636770856656207,0.11751698226074421,-0.18762042324356665,-0.02103320249799626,-0.007503026828760463,-0.08388029694891723,-0.18828969302786505,-0.15450528854384962,-0.03800739521450411,0.030294531968377527,0.07449998799310054,-0.020859907458506396,-0.03828597909784776,-0.0653224411127128,0.13156794252185594,0.02046714938151014,-0.0018791894236630585,0.06955264863466078,0.011901308778349544
OR,-0.35188431577640406,-0.03365636987167572,0.14408117200257958,0.21268736122295193,-0.16471578036250414,-0.016230967874406033,0.5271269490732601,0.1394828965880441,0.042502561175098104,0.21788801116252468,0.11003834400587004,0.09188713888481585,-0.012094709518134747,-0.008644430948271742,-0.04909870973592805,0.20238161911803412,0.6385219498690708,-0.01237013306472497,0.0023748177349689303,-0.0016505692783042524,0.00588973024709291,0.0007988029254740114,0.00555205792590501,-0.00043236459046869734,0.003420870239373547,-0.00011164032352790069,-0.0005640585383489118
PA,-0.8198916235353041,-0.1426933312021707,-0.20395342244529288,-0.2258879788661967,0.10082999064844836,-0.0552186261995514,0.07985258494662842,0.041920805568318134,-0.08601350317073053,-0.11730451120421251,0.018185357089831215,0.2618306665244691,0.04714597807190627,0.034931762717186426,-0.22738773415316038,-0.1280340865114767,0.12024903591672863,0.02045746956371662,-0.07614210009292555,0.016973438836171806,0.004779793024019559,-0.0036843167729842027,0.2135403080593614,0.015161056091492762,-0.030895997203457905,-0.03331299703152046,0.0013241715193257498
RI,-0.8605648005716187,0.023072213287143404,-0.04253545145832792,-0.2332285880370951,0.06422235603781973,-0.16559424532022485,-0.11315262988862385,-0.08620801026770677,0.102102846739388,-0.05722456061233005,-0.11603052463958563,-0.035478146419098563,0.059994774039754076,-0.0902120070648869,0.21643718170556286,0.07559557522557978,-0.1408033980162455,0.26855151323830523,-0.0025572930862597237,0.007250685909738882,0.008685478357582025,0.03540368008553969,0.040878380595624486,0.01412858522903629,-0.004849638685368048,0.0006093241401664597,0.00011303454362036825
SC,0.9549792485020939,-0.010490128443587815,0.04950751224098246,-0.02690221689738129,-0.02406830240702435,0.03977929797346355,-0.2557920593532782,-0.011997002900405382,0.025238699682857812,-0.09536016736987535,0.06358200229091754,-0.04278046585423015,-0.004831871235435888,0.050203876512823944,0.13850018723274143,0.028512296191322423,0.02186073761782728,-0.007195929275157725,0.017184916570302956,0.04801250909941443,-0.015588268791809318,0.05015174544367195,-0.07348595294581475,-0.04345756743022943,-0.02455716898425638,-0.04402595519080316,-0.013070225275279353
SD,0.07413840925019256,-0.05589964579089078,0.7797917571898583,0.2491983379443304,0.1683035598761087,-0.09363336807400185,-0.3291130544748364,0.017795727463011557,-0.21786702534964014,0.030405047194861406,-0.0004880415415334614,0.03690496665800604,-0.30482658791662864,0.028103419301862463,-0.07633837499764212,-0.1861658891138106,0.1435894660007388,-0.0273559899487591,0.050252131211877715,0.0012801457581861383,0.046587515845725465,0.0035879680607928386,-0.041685377551459984,0.006430501748136182,-0.007342091135662293,0.025607888545820336,0.0017771863089442285
TN,0.7992573898891331,-0.0749861988456103,0.03237055393401372,-0.10950338896182903,0.18707124135267994,0.06903978409286275,-0.48097895572205035,-0.05547757890113939,-0.13718231572495126,-0.0706556234777322,-0.10380410610037091,0.015441717427782995,0.016655641663795514,-0.03563974142905582,-0.19137264972644402,-0.04498796491530624,0.033077702287455824,-0.029871975351136934,-0.012480937919125268,0.08552208319260766,0.005741102797591046,-0.05410316164860378,0.12317189525314154,0.03262405157505364,0.03615985558921938,0.019512622132944676,0.004687234938737156
TX,0.9563071225806146,-0.031076707796344784,0.07656580542198523,0.08059999943683663,-0.03933820578616623,-0.15870816073737118,-0.17702136569513552,-0.006412608167064617,0.0465633240986336,0.09507545494699578,-0.11895746354466095,0.034091365501845786,0.02666131356742868,-0.07482362447566011,0.023600337977420137,0.014895843504384481,-0.019730678259120005,0.08856425070952229,-0.01344420125293803,-0.02972416895110824,-0.03202372311011642,-0.06926284116540388,0.0014464004731312337,0.03856711230630025,0.024038457382875505,0.013386629791439154,-0.010017500701915477
UT,0.8393492052239869,-0.0903687112899746,0.07004157331163947,0.004814784129377576,-0.12650048183458226,-0.3117038727196386,-0.08475804374017028,0.1024617286587663,-0.0017788431759866714,-0.04230465045444443,-0.06782272548697223,-0.031405963406975754,0.13995482033233175,0.03183352563992413,0.14855417258723322,-0.2888468686995027,-0.11108649102107156,-0.02553344068422798,-0.09091803598122754,-0.03559471245182887,-0.15274109298162308,0.005155415026617097,-0.02197455695547793,0.033811897796060315,0.014108659288915226,0.06771334522350936,0.05308307403818466
