key,column,a_value,b_value
1976|MI,relative_margin_delta,-0.169310131487,0
1976|MI,relative_margin_str,R+8.0,R+7.8
1976|MI,relative_margin_delta_str,R+16.9,0
1976|MN,R_votes,818795,819395
1976|MN,pres_margin,0.133199416695,0.13283963943942195
1976|MN,pres_margin_delta,0.189603195803,0
1976|MN,pres_margin_delta_str,D+19.0,0
1976|MN,national_margin,0.021958632612,0.022746909847506894
1976|MN,national_margin_delta,0.257316410845,0
1976|MN,national_margin_str,D+2.2,D+2.3
1976|MN,national_margin_delta_str,D+25.7,0
1976|MN,relative_margin,0.111240784083,0.11009272959191506
1976|MN,relative_margin_delta,-0.067713215042,0
1976|MN,relative_margin_str,D+11.1,D+11.0
1976|MN,relative_margin_delta_str,R+6.8,0
1976|MO,D_votes,993484,998387
1976|MO,R_votes,925023,927443
1976|MO,pres_margin,0.035684519264,0.036838142515175275
1976|MO,pres_margin_delta,0.281998950890,0
1976|MO,pres_margin_str,D+3.6,D+3.7
1976|MO,pres_margin_delta_str,D+28.2,0
1976|MO,national_margin,0.021958632612,0.022746909847506894
1976|MO,national_margin_delta,0.257316410845,0
1976|MO,national_margin_str,D+2.2,D+2.3
1976|MO,national_margin_delta_str,D+25.7,0
1976|MO,relative_margin,0.013725886652,0.014091232667668381
1976|MO,relative_margin_delta,0.024682540045,0
1976|MO,relative_margin_delta_str,D+2.5,0
1976|MS,D_votes,381309,381329
1976|MS,R_votes,367025,366846
1976|MS,pres_margin,0.018561665820,0.019357770575065995
1976|MS,pres_margin_delta,0.617293757726,0
1976|MS,pres_margin_delta_str,D+61.7,0
1976|MS,national_margin,0.021958632612,0.022746909847506894
1976|MS,national_margin_delta,0.257316410845,0
1976|MS,national_margin_str,D+2.2,D+2.3
1976|MS,national_margin_delta_str,D+25.7,0
1976|MS,relative_margin,-0.003396966792,-0.003389139272440899
1976|MS,relative_margin_delta,0.359977346881,0
1976|MS,relative_margin_delta_str,D+36.0,0
1976|MT,pres_margin,-0.074357991568,-0.0756869229197243
1976|MT,pres_margin_delta,0.135322026054,0
1976|MT,pres_margin_str,R+7.4,R+7.6
1976|MT,pres_margin_delta_str,D+13.5,0
1976|MT,national_margin,0.021958632612,0.022746909847506894
1976|MT,national_margin_delta,0.257316410845,0
1976|MT,national_margin_str,D+2.2,D+2.3
1976|MT,national_margin_delta_str,D+25.7,0
1976|MT,relative_margin,-0.096316624179,-0.0984338327672312
1976|MT,relative_margin_delta,-0.121994384791,0
1976|MT,relative_margin_str,R+9.6,R+9.8
1976|MT,relative_margin_delta_str,R+12.2,0
1976|NC,pres_margin_delta,0.542769131833,0
1976|NC,pres_margin_delta_str,D+54.3,0
1976|NC,national_margin,0.021958632612,0.022746909847506894
1976|NC,national_margin_delta,0.257316410845,0
1976|NC,national_margin_str,D+2.2,D+2.3
1976|NC,national_margin_delta_str,D+25.7,0
1976|NC,relative_margin,0.089107217358,0.08831894012179207
1976|NC,relative_margin_delta,0.285452720988,0
1976|NC,relative_margin_str,D+8.9,D+8.8
1976|NC,relative_margin_delta_str,D+28.5,0
1976|ND,R_votes,153470,153684
1976|ND,pres_margin,-0.058605096271,-0.060760210103464225
1976|ND,pres_margin_delta,0.204216010697,0
1976|ND,pres_margin_str,R+5.9,R+6.1
