year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes,D_delta,R_delta,total_delta,pres_margin,pres_margin_delta,national_margin,national_margin_delta,relative_margin,relative_margin_delta,third_party_share,third_party_national_share,third_party_relative_share,two_party_margin,two_party_margin_delta,two_party_national_margin,two_party_national_margin_delta,two_party_relative_margin,two_party_relative_margin_delta,color,pres_margin_str,pres_margin_delta_str,national_margin_str,national_margin_delta_str,relative_margin_str,relative_margin_delta_str,third_party_share_str,third_party_national_share_str,third_party_relative_share_str,two_party_margin_str,two_party_margin_delta_str,two_party_national_margin_str,two_party_national_margin_delta_str,two_party_relative_margin_str,two_party_relative_margin_delta_str
1916,WY,28316,21698,1826,51840,3,0,0,0,0.127662037037,0,0.031189132195,0,0.096472904843,0,0.035223765432098764,0.046448091706212336,-0.011224326274113572,0.13232294957411925,0.0,0.032708373737440025,0.0,0.09961457583667922,0.0,deepskyblue,D+12.8,0,D+3.1,0,D+9.6,0,3.52%,4.64%,-1.12%,D+13.2,0.0,D+3.3,0.0,D+10.0,0.0
1920,AL,159965,74556,3117,237638,12,60556,45894,106910,0.359408007137,-0.181769093408,-0.261699416929,-0.292888549124,0.621107424066,0.111119455716,0.013116589097703229,0.05534900194954788,-0.04223241285184465,0.3641848704380418,-0.1882196551766563,-0.2770329121221477,-0.3097412858595877,0.6412177825601895,0.12152163068293143,deepskyblue,D+35.9,R+18.2,R+26.2,R+29.3,D+62.1,D+11.1,1.31%,5.53%,-4.22%,D+36.4,R+18.8,R+27.7,R+31.0,D+64.1,D+12.2
1920,AR,107409,71117,5111,183637,9,-4802,22238,13533,0.197629018117,-0.174684390151,-0.261699416929,-0.292888549124,0.459328435046,0.118204158973,0.02783208177001367,0.05534900194954788,-0.02751692017953421,0.20328691619147912,-0.1898597719952488,-0.2770329121221477,-0.3097412858595877,0.48031982831362685,0.11988151386433893,deepskyblue,D+19.8,R+17.5,R+26.2,R+29.3,D+45.9,D+11.8,2.78%,5.53%,-2.75%,D+20.3,R+19.0,R+27.7,R+31.0,D+48.0,D+12.0
1920,AZ,29546,37016,0,66562,3,-3624,16492,8541,-0.112226195126,-0.330181762938,-0.261699416929,-0.292888549124,0.149473221803,-0.037293213814,0.0,0.05534900194954788,-0.05534900194954788,-0.11222619512634836,-0.3477459924966318,-0.2770329121221477,-0.3097412858595877,0.16480671699579935,-0.03800470663704408,red,R+11.2,R+33.0,R+26.2,R+29.3,D+14.9,R+3.7,0.00%,5.53%,-5.53%,R+11.2,R+34.8,R+27.7,R+31.0,D+16.5,R+3.8
1920,CA,229191,624992,89867,944050,13,-237098,162476,-55553,-0.419258513850,-0.423033012326,-0.261699416929,-0.292888549124,-0.157559096921,-0.130144463202,0.09519305121550765,0.05534900194954788,0.039844049265959774,-0.46336791998904214,-0.4674301289564788,-0.2770329121221477,-0.3097412858595877,-0.18633500786689444,-0.15768884309689107,red,R+41.9,R+42.3,R+26.2,R+29.3,R+15.8,R+13.0,9.52%,5.53%,3.98%,R+46.3,R+46.7,R+27.7,R+31.0,R+18.6,R+15.8
1920,CO,104936,173248,13869,292053,6,-73880,70940,-2322,-0.233902750528,-0.493802538214,-0.261699416929,-0.292888549124,0.027796666401,-0.200913989090,0.047487955953200274,0.05534900194954788,-0.007861045996347606,-0.24556408707905558,-0.5177144548882786,-0.2770329121221477,-0.3097412858595877,0.03146882504309212,-0.20797316902869084,red,R+23.4,R+49.4,R+26.2,R+29.3,D+2.8,R+20.1,4.75%,5.53%,-0.79%,R+24.6,R+51.8,R+27.7,R+31.0,D+3.1,R+20.8
1920,CT,120721,229238,15559,365518,7,20935,122724,151644,-0.296885515898,-0.265427741694,-0.261699416929,-0.292888549124,-0.035186098969,0.027460807429,0.04256698712512106,0.05534900194954788,-0.01278201482442682,-0.3100848956592058,-0.2774721957076789,-0.2770329121221477,-0.3097412858595877,-0.03305198353705807,0.03226909015190885,red,R+29.7,R+26.5,R+26.2,R+29.3,R+3.5,D+2.7,4.26%,5.53%,-1.28%,R+31.0,R+27.7,R+27.7,R+31.0,R+3.3,D+3.2
1920,DE,39911,52858,2106,94875,3,15158,26847,43065,-0.136463768116,-0.112182741287,-0.261699416929,-0.292888549124,0.125235648813,0.180705807836,0.022197628458498025,0.05534900194954788,-0.03315137349104985,-0.1395617070357555,-0.11478036592788377,-0.2770329121221477,-0.3097412858595877,0.1374712050863922,0.19496091993170395,red,R+13.6,R+11.2,R+26.2,R+29.3,D+12.5,D+18.1,2.22%,5.53%,-3.32%,R+14.0,R+11.5,R+27.7,R+31.0,D+13.7,D+19.5
1920,FL,90515,44853,10313,145681,6,34531,30242,64947,0.313438265800,-0.199022407522,-0.261699416929,-0.292888549124,0.575137682729,0.093866141601,0.07079166123241878,0.05534900194954788,0.015442659282870905,0.3373175344246794,-0.24874380136397423,-0.2770329121221477,-0.3097412858595877,0.614350446546827,0.060997484495613485,deepskyblue,D+31.3,R+19.9,R+26.2,R+29.3,D+57.5,D+9.4,7.08%,5.53%,1.54%,D+33.7,R+24.9,R+27.7,R+31.0,D+61.4,D+6.1
1920,GA,107162,41089,0,148251,14,-20592,29795,-12430,0.445683334345,-0.279106777740,-0.261699416929,-0.292888549124,0.707382751274,0.013781771383,0.0,0.05534900194954788,-0.05534900194954788,0.4456833343451309,-0.39186916551103385,-0.2770329121221477,-0.3097412858595877,0.7227162464672786,-0.08212787965144608,deepskyblue,D+44.6,R+27.9,R+26.2,R+29.3,D+70.7,D+1.4,0.00%,5.53%,-5.53%,D+44.6,R+39.2,R+27.7,R+31.0,D+72.3,R+8.2
1920,IA,227921,634674,32487,895082,13,9222,354235,381140,-0.454430990680,-0.334300703605,-0.261699416929,-0.292888549124,-0.192731573751,-0.041412154481,0.03629499867051287,0.05534900194954788,-0.01905400327903501,-0.4715457427877509,-0.34785249562965037,-0.2770329121221477,-0.3097412858595877,-0.1945128306656032,-0.038111209770062604,red,R+45.4,R+33.4,R+26.2,R+29.3,R+19.3,R+4.1,3.63%,5.53%,-1.91%,R+47.2,R+34.8,R+27.7,R+31.0,R+19.5,R+3.8
1920,ID,46579,88975,70,135624,4,-23475,33607,1009,-0.312599539904,-0.421695851608,-0.261699416929,-0.292888549124,-0.050900122975,-0.128807302485,0.000516132837845809,0.05534900194954788,-0.05483286911170207,-0.31276096610944715,-0.4298536611709196,-0.2770329121221477,-0.3097412858595877,-0.035728053987299446,-0.12011237531133188,red,R+31.3,R+42.2,R+26.2,R+29.3,R+5.1,R+12.9,0.05%,5.53%,-5.48%,R+31.3,R+43.0,R+27.7,R+31.0,R+3.6,R+12.0
1920,IL,534395,1420480,139839,2094714,29,-415834,267931,-97993,-0.423010014732,-0.330740504944,-0.261699416929,-0.292888549124,-0.161310597803,-0.037851955820,0.06675803952234052,0.05534900194954788,0.011409037572792644,-0.4532693906259991,-0.3570538129473283,-0.2770329121221477,-0.3097412858595877,-0.17623647850385138,-0.047312527087740586,red,R+42.3,R+33.1,R+26.2,R+29.3,R+16.1,R+3.8,6.68%,5.53%,1.14%,R+45.3,R+35.7,R+27.7,R+31.0,R+17.6,R+4.7
