,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
HI,-0.2661711973112393,0.5046403151280693,0.04010063705137386,0.2510187719619953,0.11904143054995284,-0.2169059918838409,-0.46612836508443184,0.42662326866516803,0.14565285467199798,-0.20248759060022395,0.3278474622726198,-0.028311367394065298,0.0912373767858054,0.02730827730784827,-0.019173847236291185
IA,-0.4456610770029218,-0.5639890727635605,0.3364199466064011,0.08991020325430493,-0.47912803789421454,0.05187506613313189,-0.24723971876794554,0.019418942255525522,-0.16166781818365436,0.04196339956624299,0.007446054062486436,-0.1896042279445278,0.10858079591352605,0.047534100554113015,0.058177853058388726
ID,0.9185713153229272,-0.10386452303242386,0.25360007657809003,0.0696689023290636,0.25900963176153496,-0.06446526150037495,-0.0010696556398344813,-0.024382303124691102,-0.1418943495583316,-0.01104315618625378,-0.026585659243039184,-0.03498052114379785,-0.003974679211408614,0.022825070069970418,0.04169518911899433
IL,-0.9131508655579684,0.16503433417756116,0.15718825986033255,-0.21224487740437084,-0.20578803092068057,-0.0569124079441776,-0.044612614304403636,-0.019565251181602756,-0.0940622419696874,-0.13738308210744332,-0.038620616353687305,-0.038953819511728216,-0.010539138184050648,0.053304883321332756,0.030094804957257314
IN,0.775474078574467,-0.060185464368284314,-0.26674296558546845,0.2977184168868046,-0.3520642756526135,0.03981488112086953,0.016324492607434914,0.06926985757017735,-0.1828607094587611,-0.14344937702822688,0.20686173047521766,0.13633392034783443,-0.022345777542022015,-0.03267426472249008,-0.04126728215142194
KS,0.37988176064439966,-0.16169697360414328,0.3036441508881199,0.6487388674142786,-0.2005970788890529,0.3653024462669729,0.17613170888737953,-0.0916192940203747,0.31329368962902443,0.025076065670664956,-0.10829786652017581,-0.05283970154610947,-0.049909891666344235,0.060691409843333634,0.0553627050088082
KY,0.8132695551901963,-0.37664020461298914,-0.3924402824976076,0.14909820415608788,-0.08566747198027921,0.1231479905154031,-0.012383206337071097,0.1120572710855691,-0.05549050246446277,0.04954798647324405,-0.018466324411486653,-0.06729875236144338,0.020698045773395398,0.010395812837822703,-0.05451792993699146
LA,0.9354161299246515,0.16317264977047236,-0.005128514155000566,-0.13209131403706165,-0.03327099963515538,-0.1905921922725383,0.010910819344803558,-0.20734490757009652,0.0418753764223858,0.07701677785397901,0.08637017533023449,-0.04249161687217926,0.018516744914852133,0.023529853051632174,0.1057929594235655
MA,-0.9101594473597144,-0.16792735587399574,-0.09980130180347187,0.08411521815576799,0.04339703693995254,-0.27271517390887773,0.19691722641178497,-0.12021992896085092,-0.029200536915341097,-0.028735261011311408,-0.0622374761250791,-0.06465140331416765,0.05237337545046835,-0.04649177068627154,-0.06554681842232646
MD,-0.4919704656521954,0.6994328786080014,-0.025179266806698703,0.17140106535008048,-0.3435302169014315,0.007250812519232415,0.15458828828907806,0.09675361230809904,0.17174171054028997,0.21905413037090668,0.05941549473405548,0.013147618155406573,-0.09399228576193523,-0.034890663046083854,0.11537548785309129
ME-AL,-0.83290564367888,-0.012363593370564134,-0.2548775988738992,0.3364714676243221,0.0003580015191913143,-0.011757391397142436,-0.09897690592119611,-0.2006147744383505,0.14350010269697433,0.14415735896977447,0.021240584370184536,-0.09282790135896168,0.22192795869039939,-0.05903276287318085,0.03099646190519649
MI,-0.7842372670818545,-0.3790614484329439,0.13076908528077308,0.022415959001431104,0.33460029936430163,0.18260803643479157,-0.20219796031586218,0.029054377019067955,-0.03857151423391025,-0.05639922380046063,-0.038220121636503936,0.11424780889506493,0.037291360757517,-0.12659167432431942,0.11758860042028897
