,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
MD,0.8923966410850173,0.19132237300135682,0.15115220922528966,0.07096230337241041,-0.014599356955367111,0.05298457469714613,-0.09562569885676865,0.007081583701981549,0.31807088137509554,0.05854271579040424,-0.15175008937502785,0.17239113469176248,0.015418451438058225,0.03247426779666007
ME-AL,0.9213948979164294,-0.19254163657029547,-0.16188560789812526,0.10083746017813802,-0.012087662597407409,-0.0673641889398993,-0.12284992477816116,-0.18689010295481454,0.04835816589267005,0.00612219271248076,-0.15701473082797643,-0.113073811850458,-0.07038017373644,-0.07871159915407137
MI,0.9163307108832092,-0.04459812622864784,-0.07341511284481986,0.05880063929220324,0.23005200388739303,0.05717550994562554,0.03233607675531322,0.10133633447352623,-0.17895794199888437,-0.15666305335652536,-0.053750042781580035,-0.21798218888331622,-0.02385381896571307,0.02186017721358563
MN,0.8108702939257862,0.03947974401885466,-0.1463757394090864,-0.058460155603053135,0.4426094293958935,-0.013869542680600241,0.11135102887917113,0.2452605350623524,-0.11998945007727846,0.002650083435659173,-0.048654250266420014,-0.23130704029611995,0.014713020740466475,-0.06415805742880258
MO,0.31653379084471617,0.6012769713434585,0.06913714444497354,0.1782131485769489,0.4044487219128964,-0.02485255122222432,-0.08824573999749845,0.051665567491713194,0.022578404786857277,-0.11030177959185432,-0.04047320488830202,-0.5764873738947247,0.08215462781408685,-0.021403782970166717
MS,-0.3447775559004654,0.9002577074313541,0.027177860877335442,-0.14300331343943726,-0.02533505506215743,-0.04108516781441175,-0.03844913917075912,0.03053197095605765,-0.021540150759675004,-0.0337311111958451,0.11683734587322361,0.12409635999039653,-0.20541620698390836,-0.013074724239037423
MT,0.4117204807621228,0.7009500711349204,-0.05493041623328026,0.11913789771522007,0.4495020014265786,0.09706226122420693,0.0874934402783418,0.028616348127429737,-0.21866520358228378,0.09567045608453796,-0.09675066882412371,-0.2307320945348866,-0.041041978268257395,0.08551421542524187
NC,0.13853171955435237,0.9561277284782222,0.06696233931193407,0.06839817914375951,-0.04900156463366335,0.1584389683809168,-0.05489247148262894,0.13203408088253357,0.045681072090890174,-0.056467961408411475,0.01335375235042452,-0.1472997628808934,0.07927079631554095,0.004238715061343512
ND,0.4206849471821049,0.49638343687035014,-0.06351925920471879,0.05993374309342294,0.7373136791120363,-0.04819795217713321,0.0365517667371224,0.03635752634101462,-0.01823896977619982,0.024767772899130784,0.052634065714132566,-0.1998206875246471,-0.07067784706899903,0.05824479595536475
NE-AL,0.35732884808511256,0.714504010782459,0.07623730439185579,0.15305699417818278,0.511803597687232,-0.03405086299290424,-0.10360718089946074,-0.011198343607987648,0.08545176296377029,0.05191712747304185,-0.27264539214190836,0.003833224753014455,0.06084920419775633,0.028569671216523557
NH,0.8525427997916453,0.2917516013374532,0.11488000575835491,0.3017375477546079,-0.025278300397232972,-0.09891687562120993,-0.12944844315663143,-0.28924696976676934,-0.0012784025114202775,-0.019178517370913906,-0.013723300183020669,0.0278669840527243,0.03616810282057617,-0.009705786884184572
NJ,0.9929787921833205,0.038693789472588946,0.06297960443224286,0.09055206165928106,0.053267969474393856,-0.06199976937207326,-0.050999027471139546,-0.018742688086113235,0.046949310888764494,0.02635311785501699,0.06880233850254855,-0.027678284730345764,0.049047284565468724,0.08388612171140904
