,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
LA,0.9336848677459344,-0.04956347225698439,0.12660057227100738,-0.03063135532487097,0.09272978284943606,-0.01897309529844223,-0.2370675572485273,-0.031218049295293576,-0.07473932174733136,-0.14841855060715062,0.055850330039384444,-0.08017100208735155,0.058550889750000557,0.014912826211761121,0.0911776908588504,0.052261868040446004,-0.11413193727789497,0.0784357774961185,-0.04564651323351128,-0.05088791086375597
MA,-0.9178575948602105,0.013946556078987139,0.00683911552843159,-0.08993825748621728,-0.11207856989683514,-0.08539938185943853,0.13838497508172667,-0.04286053010483299,-0.08619547178976958,-0.08774146694865437,-0.0037197017521328566,-0.0442702233760344,0.00816419867133415,-0.07272912863306813,0.31161306522479343,0.025188585942733037,-0.10233684994664528,0.0444763050287386,0.056572313947327986,-0.055723959915249956
MD,-0.2511173717036928,0.060825358047359175,-0.31868404660537397,0.1626194850201275,-0.2589704796933076,0.17454185376935769,0.243775477159264,0.07390480517387843,0.16913536654831687,0.17933608669289514,0.15170955761370655,-0.13065573645103148,0.03310305225811548,0.014526142974346961,0.2686912594674805,0.6936610009758529,0.12669116782543008,0.007353586233318084,-0.0107817157507782,0.009403130236294119
ME-01,0.006598422935862828,0.5639319526899887,-0.35447846129535576,-0.04431506568249149,-0.122446247630849,-0.020353461795923292,0.4157206037206133,0.13212655556232974,0.4309268040723991,0.03772191670363671,0.09039567471595941,-0.1719011971745693,0.014763139406235222,0.06240034530745301,0.35375443376893934,0.14882600618751243,-0.05710646948729096,-0.02746930182766484,0.034202494285208024,-0.008415887344838767
ME-02,-0.03188271443084099,0.3788737862380474,0.11591796132658098,-0.1695542515939991,0.8182785547964262,0.1598639810114932,-0.19558842706538074,-0.10362606134961827,0.05301867184059828,-0.05064860949178365,-0.09152837472857454,0.21137970904246342,-0.02177268579236465,-0.08963489429243018,0.08618292711463169,-0.029236988075290328,0.025402555947622227,0.11095776133439966,-0.12017447157098916,-0.0028040773778045323
ME-AL,-0.7738074852912544,-0.020501065535858103,-0.20896653614812047,0.10104539488521783,0.11149796088529713,0.041266113501172645,0.1598207708749439,0.03095763820778959,0.09034927594837833,-0.14602634510242243,-0.11191268157734333,0.22227286790192147,-0.15273028444542966,-0.24355587116310587,0.3153157264914068,0.23845920088959446,-0.03175457704972139,0.08478556997569064,-0.0037678815543648186,0.026043512210394942
MI,-0.7828840016742926,0.15120552824023473,0.016356991581450354,-0.03651500831734205,0.17788537810802055,-0.1208690772082928,0.393946838362724,-0.007910587343582761,0.04944021489851418,-0.10645987132598375,-0.0970369637039109,0.188756695616315,-0.09732234769989197,0.050709073542638775,-0.22903320622818996,-0.2022461409786055,0.03520633910409208,0.10829311416781899,0.015994454828922297,0.06048716565108819
MN,-0.6221958408949501,0.05880562155461249,0.5042669311511104,-0.03245403096632306,0.005057420139665432,0.0018382285533608015,0.18684743471535326,0.08342908474551401,-0.17501218646203023,-0.17452223857434132,0.011364323262684849,0.05280995887368705,-0.03157977417992487,-0.19950211373144144,-0.4291615126595237,-0.17952654366765405,-0.08727432698959177,-0.042895244916202585,0.09539546789487698,0.03181760676888187
MO,0.4017370079680471,0.0652377239889334,0.15195479195682582,0.11876711726319936,0.28707329902916223,-0.09156827127312156,-0.7672448671539753,-0.031203691915274726,-0.03226098145946404,0.13727615949771177,-0.07155405910627423,-0.048865469625026595,-0.057452928453801934,0.0557293038102289,-0.2088092559143337,-0.22748862090514801,0.08848611714222833,0.005905379877512145,0.0990042335632063,0.05278829689884172
MS,0.9442856985750355,-0.00902900223809355,-0.019182969216503594,-0.08879996870019585,0.02212342541481388,0.09041181551481492,-0.18032994348473716,-0.0035832521474399204,-0.013994543171953193,-0.17533495960269965,0.175861343993548,-0.10146023342486363,-0.058272045450638216,0.06610182424069759,-0.006548670211502655,-0.001367142556934579,-0.019161471564278797,0.05226219688747374,-0.0778727774936803,-0.045980892950403376
